"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.567833242E-3,-2.513273621E-1,1.498533783E0,1.009186386E1,1.020561047E1
1.160483330E-2,-2.085163879E-1,1.560205536E0,9.873318329E0,9.998006562E0
2.164183324E-2,-9.131011963E-3,1.582209778E0,9.804760895E0,9.931606484E0
3.167983331E-2,2.338137817E-1,1.529219971E0,9.828711090E0,9.949710764E0
4.171683325E-2,3.134481812E-1,1.390009460E0,9.826016693E0,9.928795502E0
5.175383331E-2,3.902384949E-1,1.284778290E0,9.855355682E0,9.946405228E0
6.179183326E-2,3.460803223E-1,1.269809418E0,9.777367859E0,9.865551672E0
7.182883332E-2,2.971321106E-1,1.276994476E0,9.649683380E0,9.738346457E0
8.186583326E-2,3.303630066E-1,1.329684906E0,9.500144348E0,9.598434471E0
9.190283332E-2,2.254312134E-1,1.397344208E0,9.404942322E0,9.510853282E0
1.019408333E-1,1.077758789E-2,1.394799500E0,9.468110962E0,9.570303391E0
1.119778333E-1,-9.759704590E-2,1.331032104E0,9.399403839E0,9.493680223E0
1.220148333E-1,2.305206299E-2,1.283580780E0,9.422904968E0,9.509955261E0
1.320528333E-1,1.980381775E-1,1.185534668E0,9.503287811E0,9.578997379E0
1.420898333E-1,3.080593872E-1,1.074465637E0,9.494755554E0,9.560322172E0
1.521268333E-1,4.231700134E-1,1.115630035E0,9.507628784E0,9.582207905E0
1.621638333E-1,5.884263611E-1,1.232536926E0,9.424701233E0,9.523150014E0
1.722018333E-1,6.700067139E-1,1.333277435E0,9.256900177E0,9.376392622E0
1.822388333E-1,5.803431702E-1,1.393452301E0,9.104517059E0,9.228799402E0
1.922758333E-1,3.688330078E-1,1.388362885E0,9.187743988E0,9.299367122E0
2.023138333E-1,1.971400452E-1,1.353934479E0,9.402547302E0,9.501573477E0
2.123508332E-1,2.619552612E-2,1.265767822E0,9.709409180E0,9.791602576E0
2.223878333E-1,-8.202941895E-2,1.197509766E0,1.002974304E1,1.010131199E1
2.324248332E-1,-1.342707825E-1,1.153501282E0,1.020278320E1,1.026866004E1
2.424628333E-1,-1.038839722E-1,1.176553345E0,1.025277924E1,1.032058873E1
2.524998332E-1,8.831634521E-3,1.364562378E0,1.023990601E1,1.033042998E1
2.625368333E-1,9.235794067E-2,1.510808258E0,1.011551468E1,1.022813320E1
2.725748332E-1,1.311273193E-1,1.598825226E0,9.937534790E0,1.006618270E1
2.826118333E-1,1.353186035E-1,1.660047913E0,9.761201477E0,9.902278751E0
2.926492083E-1,7.589218140E-2,1.661694489E0,9.627230072E0,9.769879582E0
3.026862083E-1,-4.191284180E-3,1.626068573E0,9.617350616E0,9.753847930E0
3.127242082E-1,7.933502197E-3,1.540895691E0,9.706714783E0,9.828262021E0
3.227612083E-1,9.490264893E-2,1.438209229E0,9.832004242E0,9.937090103E0
3.327982082E-1,2.378553772E-1,1.306932220E0,9.898316345E0,9.987057298E0
3.428362083E-1,4.349954224E-1,1.233884125E0,9.901609497E0,9.987670483E0
3.528732082E-1,5.932164001E-1,1.228645020E0,9.758956146E0,9.853867228E0
3.629102083E-1,6.610253906E-1,1.309177551E0,9.577383728E0,9.689023661E0
3.729472082E-1,6.080355835E-1,1.369352417E0,9.350006561E0,9.469290153E0
3.829852083E-1,5.034031677E-1,1.407822418E0,9.190288696E0,9.311110838E0
3.930222082E-1,4.251159668E-1,1.478026428E0,9.181457062E0,9.309373743E0
4.030592083E-1,2.314187622E-1,1.484612732E0,9.321565704E0,9.441886294E0
4.130972082E-1,-1.751358032E-2,1.418150940E0,9.530381470E0,9.635332364E0
4.231342083E-1,-1.983375549E-1,1.333427124E0,9.767638092E0,9.860229185E0
4.331712082E-1,-1.986369324E-1,1.290765839E0,9.873468018E0,9.959463026E0
4.432082083E-1,-8.816665649E-2,1.345551910E0,9.885443115E0,9.976986964E0
4.532462083E-1,2.170486450E-2,1.440753937E0,9.912387085E0,1.001656931E1
4.632832083E-1,8.173004150E-2,1.479373627E0,9.887838135E0,9.998228298E0
4.733202083E-1,8.187973022E-2,1.530567169E0,9.859546967E0,9.977976074E0
4.833582083E-1,9.819580078E-2,1.541644135E0,9.782606964E0,9.903822902E0
4.933952083E-1,2.709365845E-2,1.487157440E0,9.686656494E0,9.800188026E0
5.034322083E-1,-1.586700439E-2,1.468895416E0,9.718689880E0,9.829081264E0
5.134692083E-1,-1.040336609E-1,1.356030121E0,9.938881989E0,1.003150118E1
5.235072083E-1,-1.380130005E-1,1.225351868E0,1.012120285E1,1.019604246E1
5.335442083E-1,-6.152206421E-2,1.207538910E0,1.009919861E1,1.017131986E1
5.435812083E-1,1.691482544E-2,1.301992493E0,1.001357666E1,1.009788038E1
5.536182083E-1,9.999206543E-2,1.360969849E0,9.881551208E0,9.975334161E0
5.636562083E-1,2.366578674E-1,1.455273743E0,9.810299377E0,9.920473904E0
5.736932083E-1,3.171903992E-1,1.513502655E0,9.713750153E0,9.836068425E0
5.837302083E-1,3.100053406E-1,1.542093201E0,9.633966064E0,9.761529434E0
5.937682083E-1,2.127076721E-1,1.573976898E0,9.571545868E0,9.702429496E0
6.038052082E-1,1.826202393E-2,1.518143005E0,9.537267151E0,9.657357630E0
6.138422083E-1,-1.487905884E-1,1.443448334E0,9.647737427E0,9.756255388E0
6.238792082E-1,-2.137554932E-1,1.384770355E0,9.689949646E0,9.790730539E0
6.339172083E-1,-2.637515259E-1,1.378034363E0,9.649683380E0,9.751150338E0
6.439542082E-1,-1.761836243E-1,1.329086151E0,9.612261200E0,9.705311744E0
6.539912083E-1,2.938389587E-1,1.572629700E0,9.627978516E0,9.759993637E0
6.640292082E-1,4.912783813E-1,1.742227020E0,9.648785248E0,9.817115982E0
6.740662083E-1,4.775070190E-1,1.601220245E0,9.696985016E0,9.839890123E0
6.841032082E-1,9.924362183E-2,1.389111328E0,9.893226929E0,9.990766669E0
6.941402083E-1,4.519102478E-1,1.398242340E0,1.006177643E1,1.016851264E1
7.041782083E-1,7.340734863E-1,1.111588440E0,1.019499939E1,1.028165868E1
7.142152083E-1,4.388873291E-1,1.721120911E0,1.004321503E1,1.019907091E1
7.242522083E-1,-1.335223389E-1,1.794618073E0,9.777068481E0,9.941305263E0
7.342902083E-1,-2.724334717E-1,1.693578186E0,9.557325439E0,9.710041021E0
7.443272083E-1,2.067201233E-1,1.694925385E0,9.589059448E0,9.739895604E0
7.543642083E-1,1.026864624E-1,1.595083008E0,9.616452484E0,9.748384107E0
7.644012083E-1,2.255809021E-1,1.828298035E0,9.568402405E0,9.744120536E0
7.744392083E-1,4.444258118E-1,1.858684845E0,9.648934937E0,9.836369710E0
7.844762083E-1,3.866459656E-1,1.798210602E0,9.654024353E0,9.827677380E0
7.945132083E-1,6.819818115E-1,1.795366516E0,9.768685913E0,9.955685039E0
8.045512083E-1,7.866142273E-1,1.638043671E0,9.984836426E0,1.014883774E1
8.145882083E-1,6.831793213E-1,1.501677246E0,9.991123352E0,1.012641666E1
8.246252083E-1,3.122506714E-1,1.473835144E0,9.893526306E0,1.000757480E1
8.346622083E-1,1.739382935E-1,1.537153473E0,9.719138947E0,9.841481453E0
8.447002083E-1,2.877017212E-1,1.674867096E0,9.653425598E0,9.801866039E0
8.547372083E-1,4.209246826E-1,1.812281342E0,9.625882874E0,9.804038063E0
8.647742083E-1,4.087998962E-1,1.867217102E0,9.728868713E0,9.914862758E0
8.748122082E-1,3.680845642E-1,1.924248505E0,9.686955872E0,9.883083153E0
8.848492083E-1,1.386117554E-1,1.915716248E0,9.503287811E0,9.695445383E0
8.948862082E-1,-5.119354248E-2,1.932032318E0,9.503437500E0,9.697973705E0
9.049232083E-1,-2.088157654E-1,1.868713989E0,9.536818085E0,9.720421554E0
9.149612082E-1,-2.839595032E-1,1.689386902E0,9.596843262E0,9.748541516E0
9.249982083E-1,-1.669029236E-1,1.784888306E0,9.719588013E0,9.883525382E0
9.350352082E-1,-1.288819885E-1,1.855840759E0,9.726473694E0,9.902779711E0
9.450722083E-1,-2.077679443E-1,1.723964996E0,9.692943420E0,9.847252154E0
9.551102082E-1,-1.908531189E-1,1.618284760E0,9.630672913E0,9.767555028E0
9.651472083E-1,-1.314266968E-1,1.695224762E0,9.530680847E0,9.681164051E0
9.751842082E-1,-1.414558411E-1,1.818268890E0,9.453441467E0,9.627755039E0
9.852222083E-1,-2.562670898E-1,1.744771729E0,9.374405823E0,9.538835659E0
9.952592083E-1,-4.153862000E-1,1.644180908E0,9.383087769E0,9.535104227E0
1.005296208E0,-6.451583862E-1,1.558259583E0,9.592352600E0,9.739488214E0
1.015333208E0,-7.253915405E-1,1.326242065E0,9.864636383E0,9.979787667E0
1.025371208E0,-4.721182251E-1,1.330882416E0,9.991273041E0,1.009057385E1
1.035408208E0,-3.460803223E-1,1.445543976E0,1.006791367E1,1.017704547E1
1.045445208E0,-2.833607483E-1,1.471140747E0,1.008976822E1,1.020039073E1
1.055483208E0,-4.399351501E-1,1.459315338E0,9.969867554E0,1.008570291E1
1.065520208E0,-1.000369720E0,1.327589264E0,9.903705139E0,1.004224120E1
1.075557208E0,-3.974235535E-1,2.014959869E0,9.838440857E0,1.005051876E1
1.085594208E0,-3.779640198E-1,1.939067688E0,9.613608398E0,9.814494727E0
1.095632208E0,-7.349716187E-1,1.522034912E0,9.497300262E0,9.646527138E0
1.105669208E0,-2.944377136E-1,1.798809357E0,9.472751312E0,9.646524042E0
1.115706208E0,4.700225830E-2,1.651815033E0,9.657916260E0,9.798267632E0
1.125744208E0,-3.867956543E-1,1.276695099E0,9.669142914E0,9.760731834E0
1.135781208E0,-4.625381470E-1,1.302441559E0,9.605076141E0,9.704008617E0
1.145818208E0,-2.504292297E-1,1.307680664E0,9.620045013E0,9.711745959E0
1.155855208E0,-9.669891357E-2,1.351539459E0,9.657167816E0,9.751763934E0
1.165893208E0,-1.333726501E-1,1.277742920E0,9.712552643E0,9.797147242E0
1.175930208E0,-3.095562744E-1,1.008003845E0,9.764644318E0,9.821414129E0
1.185967208E0,-3.302133179E-1,8.032296753E-1,9.887089691E0,9.925157999E0
1.196005208E0,5.559439087E-1,1.336271210E0,9.275461578E0,9.387698433E0
1.206042208E0,2.659968567E-1,1.407672729E0,9.069639587E0,9.182083592E0
1.216079208E0,-8.367599487E-2,1.617536316E0,8.832233276E0,8.979519478E0
1.226116208E0,-3.124003601E-1,1.872306519E0,9.063951416E0,9.260579947E0
1.236154208E0,-6.387217712E-1,2.121987305E0,9.206006012E0,9.468967331E0
1.246191208E0,-9.201365662E-1,2.329605560E0,9.195976868E0,9.530986513E0
1.256228208E0,-1.082548828E0,2.438578949E0,9.233399048E0,9.611151712E0
1.266265208E0,-1.228495331E0,2.473157043E0,9.173673248E0,9.580291614E0
1.276303208E0,-1.290167084E0,2.479443970E0,9.272018738E0,9.684136770E0
1.286340125E0,-1.437909851E0,2.456391907E0,9.637857971E0,1.004936576E1
1.296377125E0,-1.085991669E0,2.501148834E0,9.815688171E0,1.018738719E1
1.306415125E0,-7.740403748E-1,2.237397308E0,9.998158722E0,1.027464175E1
1.316452125E0,-3.607498169E-1,2.655926971E0,9.762848053E0,1.012409456E1
1.326489125E0,2.978805542E-2,3.014581146E0,1.025652145E1,1.069040781E1
1.336526125E0,-3.686833191E-1,2.608026581E0,9.505682831E0,9.863860102E0
1.346564125E0,-7.186555481E-1,1.979184265E0,8.832832031E0,9.080339082E0
1.356601125E0,-5.584886169E-1,2.102378082E0,8.998537445E0,9.257730785E0
1.366638125E0,-3.478765869E-1,2.070943451E0,9.227860565E0,9.463785474E0
1.376676125E0,-4.755610657E-1,1.909579010E0,9.952054596E0,1.014475436E1
1.386713125E0,-6.680607605E-1,1.886976013E0,9.720785522E0,9.924749610E0
1.396750125E0,-5.709127808E-1,2.047442322E0,9.902058563E0,1.012762190E1
1.406787125E0,-6.123765564E-1,1.939965820E0,1.008303223E1,1.028620490E1
1.416825125E0,-5.189707947E-1,1.738185425E0,9.993069305E0,1.015637994E1
1.426862125E0,-5.575904846E-1,1.825453949E0,9.882299652E0,1.006494092E1
