"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.940375056E-3,-1.124910736E0,2.643802185E0,9.346114655E0,9.777779569E0
1.389937499E-2,-1.210682373E0,2.645748138E0,9.332792358E0,9.775824683E0
2.385837515E-2,-1.240620117E0,2.719993744E0,9.280700684E0,9.750328683E0
3.381637507E-2,-1.175056458E0,2.807711334E0,9.268575897E0,9.755536878E0
4.377537500E-2,-1.009351044E0,2.900368652E0,9.262738037E0,9.758547217E0
5.373437516E-2,-8.593629456E-1,2.934198303E0,9.278155975E0,9.768940713E0
6.369337509E-2,-7.565267944E-1,2.932851105E0,9.304201813E0,9.784790226E0
7.365237502E-2,-7.348219299E-1,2.883902893E0,9.349856873E0,9.812068217E0
8.361137495E-2,-8.520281982E-1,2.803370361E0,9.403445435E0,9.849346348E0
9.357037512E-2,-1.006207581E0,2.653382263E0,9.505682831E0,9.920226671E0
1.035283750E-1,-1.092128906E0,2.492915955E0,9.596543884E0,9.975020302E0
1.134873750E-1,-1.010847931E0,2.463277588E0,9.616153107E0,9.977973270E0
1.234463751E-1,-8.246351624E-1,2.532733154E0,9.651629333E0,1.001242774E1
1.334053751E-1,-6.691085815E-1,2.591560822E0,9.630223846E0,9.995254130E0
1.433643750E-1,-6.765930176E-1,2.641556854E0,9.588909760E0,9.969091789E0
1.533233752E-1,-7.315287781E-1,2.699935455E0,9.566306763E0,9.966895750E0
1.632823751E-1,-8.408015442E-1,2.701132965E0,9.504335632E0,9.916423869E0
1.732403750E-1,-9.511221313E-1,2.679428101E0,9.451944580E0,9.870320390E0
1.831993749E-1,-1.010398865E0,2.673739929E0,9.446406097E0,9.869365696E0
1.931583751E-1,-9.859996033E-1,2.721790009E0,9.423054657E0,9.857702325E0
2.031173750E-1,-9.225315857E-1,2.735112305E0,9.419162750E0,9.851524286E0
2.130763750E-1,-8.343649292E-1,2.767295380E0,9.403445435E0,9.837625455E0
2.230353751E-1,-7.794291687E-1,2.800077209E0,9.430389404E0,9.868139973E0
2.329943751E-1,-8.125103760E-1,2.765349426E0,9.461973724E0,9.891222236E0
2.429523750E-1,-8.659492493E-1,2.769391022E0,9.481882324E0,9.915920892E0
2.529113751E-1,-9.449848938E-1,2.765648804E0,9.484427032E0,9.924523459E0
2.628703751E-1,-1.019230499E0,2.747835846E0,9.477541351E0,9.920343881E0
2.728293750E-1,-1.048719177E0,2.712060242E0,9.477840729E0,9.913856341E0
2.827883752E-1,-1.049766998E0,2.696642303E0,9.469607849E0,9.901886855E0
2.927473751E-1,-9.862989807E-1,2.759960632E0,9.397757263E0,9.844186607E0
3.027063750E-1,-8.824150085E-1,2.825075226E0,9.384434967E0,9.840087699E0
3.126643749E-1,-7.400610352E-1,2.862347717E0,9.357341309E0,9.813284932E0
3.226233751E-1,-6.532415771E-1,2.840343475E0,9.369017029E0,9.811868105E0
3.325823750E-1,-6.707551575E-1,2.782114563E0,9.427395630E0,9.852200885E0
