"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769908812279659E9,"2026-01-31 17:20:12.280 UTC-08:00"
"PAUSE",1.833212130416650E2,1.769908995599819E9,"2026-01-31 17:23:15.600 UTC-08:00"
