"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769908812294649E9,"2026-01-31 17:20:12.295 UTC-08:00"
"PAUSE",1.791981781250797E2,1.769908991492878E9,"2026-01-31 17:23:11.493 UTC-08:00"
