"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.591667283E-4,-3.664379883E-1,-9.136999512E-1,1.104014191E1,1.108394595E1
1.082016667E-2,-2.534230042E-1,-4.613406372E-1,1.092084000E1,1.093351749E1
2.078016684E-2,-2.031275940E-1,-8.292755127E-2,1.074914703E1,1.075138595E1
3.074116679E-2,-1.956431580E-1,1.645079041E-1,1.049722092E1,1.050033266E1
4.070116673E-2,-1.751358032E-1,3.665876770E-1,1.017808456E1,1.018618989E1
5.066216667E-2,-8.816665649E-2,5.800437927E-1,9.942923584E0,9.960218550E0
6.062216684E-2,1.541793823E-2,6.852749634E-1,9.796827393E0,9.820777283E0
7.058316679E-2,1.044827271E-1,5.363346863E-1,9.629774780E0,9.645264841E0
8.054316672E-2,1.727407837E-1,3.739224243E-1,9.548194427E0,9.557074562E0
9.050416667E-2,2.342628479E-1,2.517764282E-1,9.574988708E0,9.581162728E0
1.004641668E-1,2.719844055E-1,6.376739502E-2,9.647138672E0,9.651182640E0
1.104251668E-1,2.799179077E-1,-1.019380188E-1,9.729317780E0,9.733877431E0
1.203851667E-1,3.225791931E-1,-8.247848511E-2,9.865235138E0,9.870852261E0
1.303461667E-1,3.848497009E-1,2.245330811E-3,9.977651367E0,9.985070913E0
1.403061668E-1,4.192781067E-1,6.092330933E-2,1.007494904E1,1.008385362E1
1.502671668E-1,3.983216858E-1,7.005432129E-2,1.010368927E1,1.011178049E1
1.602271667E-1,3.456312561E-1,8.053253174E-2,1.014500336E1,1.015120877E1
1.701881667E-1,2.981799316E-1,2.948867798E-2,1.017000137E1,1.017441442E1
1.801481668E-1,2.457888794E-1,-4.939727783E-2,1.015488281E1,1.015797702E1
1.901091668E-1,2.308200073E-1,-1.103205872E-1,1.011521530E1,1.011844994E1
2.000691667E-1,2.615061951E-1,-9.235794067E-2,1.010623398E1,1.011003861E1
2.100301667E-1,3.107537842E-1,-3.487747192E-2,1.008587631E1,1.009072274E1
2.199901668E-1,2.805166626E-1,6.002517700E-2,1.004830444E1,1.005239846E1
2.299511668E-1,2.171983337E-1,1.975891113E-1,9.984836426E0,9.989152868E0
2.399111667E-1,1.583706665E-1,3.591032410E-1,9.906100159E0,9.913871936E0
2.498721669E-1,8.083190918E-2,4.879852295E-1,9.821526031E0,9.833973610E0
2.598321668E-1,8.981323242E-4,5.577401733E-1,9.717043304E0,9.733036807E0
2.697921668E-1,-7.140151978E-2,5.472619629E-1,9.663005676E0,9.678753666E0
2.797531667E-1,-1.094224548E-1,4.977149963E-1,9.589658203E0,9.603188947E0
