Times (us),interval (us),strain (raw),sensorValue0 (raw)
12504,12504,2703252,522
77484,64980,2703267,522
89988,12504,2703151,522
102488,12500,2703263,522
114988,12500,2703685,521
127488,12500,2703701,522
139988,12500,2703604,522
152488,12500,2703422,521
164988,12500,2703414,521
177492,12504,2703546,521
189992,12500,2703823,521
202496,12504,2703733,521
214996,12500,2703770,521
227496,12500,2703921,521
239996,12500,2703895,521
252496,12500,2703957,521
264996,12500,2704016,521
277496,12500,2704263,521
289996,12500,2704315,521
302496,12500,2704475,521
315000,12504,2704670,521
327504,12504,2704790,521
340008,12504,2704793,522
352508,12500,2704781,522
365012,12504,2704828,522
377516,12504,2705067,522
390016,12500,2706039,522
402516,12500,2706597,522
415016,12500,2706804,522
427516,12500,2706900,522
440016,12500,2707040,522
452516,12500,2707228,522
465016,12500,2707408,522
477520,12504,2707279,522
490020,12500,2707241,521
502520,12500,2707434,521
515020,12500,2707509,521
527524,12504,2707449,521
540028,12504,2707404,521
552528,12500,2707455,521
565028,12500,2707568,521
577528,12500,2707583,521
590028,12500,2707419,521
602532,12504,2707430,521
615032,12500,2707499,521
627536,12504,2707613,520
640036,12500,2707498,518
652536,12500,2707383,512
665036,12500,2707418,512
677540,12504,2707486,512
690040,12500,2707501,512
702540,12500,2707398,514
715040,12500,2707275,513
727540,12500,2707388,515
740040,12500,2707714,513
752540,12500,2707391,516
765040,12500,2707417,518
777540,12500,2707359,519
790040,12500,2707563,513
802540,12500,2707617,512
815040,12500,2707423,512
827540,12500,2708509,512
840044,12504,2715224,513
852544,12500,2724034,512
865044,12500,2736738,516
877544,12500,2741536,514
890044,12500,2744745,518
902544,12500,2746457,514
915044,12500,2746481,518
927544,12500,2744929,512
940044,12500,2743612,511
952548,12504,2743558,515
965048,12500,2744396,512
977548,12500,2745440,518
990048,12500,2745461,512
1002548,12500,2745395,514
1015048,12500,2745306,512
1027548,12500,2745283,515
1040052,12504,2745782,515
1052552,12500,2745934,514
1065056,12504,2745278,513
1077556,12500,2744424,514
1090056,12500,2743912,517
1102556,12500,2743814,512
1115056,12500,2747464,512
1127556,12500,2754415,512
1140056,12500,2760007,512
1152556,12500,2761818,512
1165056,12500,2758946,514
1177556,12500,2752772,512
1190056,12500,2746885,514
1202556,12500,2747646,520
1215056,12500,2753364,521
1227556,12500,2758705,518
1240056,12500,2760971,514
1252560,12504,2758840,514
1265060,12500,2753760,515
1277560,12500,2748528,514
1290064,12504,2746085,515
1302568,12504,2747663,515
1315072,12504,2757383,513
1327572,12500,2759939,514
1340072,12500,2758848,513
1352572,12500,2754684,514
1365072,12500,2749840,513
1377576,12504,2746941,512
1390080,12504,2747711,519
1402584,12504,2751606,512
1415084,12500,2756175,514
1427584,12500,2758500,512
1440084,12500,2755119,514
1452584,12500,2750769,513
1465084,12500,2747985,514
1477584,12500,2748088,513
1490084,12500,2751164,513
1502588,12504,2755349,513
1515088,12500,2758233,515
1527588,12500,2758198,514
1540092,12504,2751546,515
1552596,12504,2748533,513
1565096,12500,2748441,513
1577596,12500,2750915,512
1590096,12500,2754626,513
1602600,12504,2757448,513
1615104,12504,2757872,513
1627608,12504,2755688,512
1640108,12500,2752420,513
1652608,12500,2748563,512
1665108,12500,2750499,512
1677612,12504,2753812,511
1690112,12500,2756648,510
1702612,12500,2757628,512
1715116,12504,2756107,513
1727616,12500,2752945,514
1740116,12500,2750117,513
1752620,12504,2749097,512
1765120,12500,2753089,511
1777620,12500,2755946,513
1790120,12500,2757364,513
1802620,12500,2756355,513
1815124,12504,2753547,514
1827628,12504,2750608,513
1840132,12504,2749265,512
1852632,12500,2750206,511
1865132,12500,2752803,513
1877636,12504,2757076,521
1890136,12500,2756282,521
1902636,12500,2753909,521
1915136,12500,2751322,522
1927636,12500,2749975,522
1940136,12500,2750435,523
1952636,12500,2752525,523
1965136,12500,2755231,523
1977636,12500,2756840,523
1990140,12504,2754346,523
2002640,12500,2751819,523
2015140,12500,2750349,523
2027640,12500,2750640,523
2040140,12500,2752459,523
2052640,12500,2754827,523
2065140,12500,2756192,523
2077644,12504,2756040,523
2090148,12504,2754582,523
2102648,12500,2751034,523
2115148,12500,2750727,523
2127652,12504,2752054,523
2140152,12500,2754216,523
2152656,12504,2755789,523
2165160,12504,2755907,523
2177660,12500,2754746,523
2190160,12500,2753031,523
2202660,12500,2751241,523
2215164,12504,2754086,523
2227664,12500,2755833,522
2240168,12504,2754042,523
2252668,12500,2750933,523
2265168,12500,2749981,523
2277668,12500,2752673,523
2290168,12500,2756631,523
2302672,12504,2758759,523
2315172,12500,2758138,525
2327672,12500,2747968,525
2340172,12500,2745102,525
2352672,12500,2748036,525
2365176,12504,2754199,525
2377676,12500,2759857,525
2390176,12500,2762256,525
2402680,12504,2760326,525
2415184,12504,2754047,526
2427684,12500,2746772,526
2440188,12504,2746577,526
2452688,12500,2753113,526
2465188,12500,2759585,526
2477688,12500,2762830,526
2490188,12500,2761286,526
2502688,12500,2755226,526
2515188,12500,2747577,526
2527688,12500,2743634,526
2540188,12500,2745940,526
2552692,12504,2758994,526
2565192,12500,2762703,526
2577692,12500,2761832,526
2590192,12500,2756181,526
2602696,12504,2748948,526
2615196,12500,2744531,526
2627696,12500,2745834,526
2640196,12500,2751374,527
2652696,12500,2757875,527
2665200,12504,2762055,527
2677700,12500,2757221,527
2690200,12500,2750377,527
2702700,12500,2745725,527
2715200,12500,2745870,527
2727700,12500,2750284,527
2740200,12500,2756496,526
2752700,12500,2761106,527
2765200,12500,2761584,527
2777700,12500,2751466,527
2790204,12504,2746928,527
2802704,12500,2746373,527
2815204,12500,2750106,527
2827704,12500,2755742,527
2840204,12500,2760341,527
2852708,12504,2761466,527
2865208,12500,2758051,527
2877712,12504,2752281,527
2890212,12500,2746488,527
2902712,12500,2749549,527
2915212,12500,2755127,527
2927712,12500,2759809,527
2940212,12500,2760977,526
2952716,12504,2758410,527
2965216,12500,2753340,526
2977720,12504,2748479,526
2990220,12500,2746781,526
3002724,12504,2754006,526
3015224,12500,2758793,526
3027728,12504,2760985,526
3040228,12500,2759050,526
3052728,12500,2754453,526
3065228,12500,2749749,527
3077728,12500,2747524,526
3090232,12504,2748982,526
3102732,12500,2753262,526
3115232,12500,2760247,526
3127732,12500,2759225,526
3140232,12500,2755541,526
3152732,12500,2750929,526
3165232,12500,2748250,526
3177732,12500,2749055,526
3190232,12500,2752494,526
3202732,12500,2756768,526
3215236,12504,2759318,526
3227736,12500,2756034,526
3240240,12504,2752005,526
3252740,12500,2749089,526
3265240,12500,2749031,526
3277740,12500,2751751,526
3290240,12500,2755541,526
3302744,12504,2758347,526
3315244,12500,2758617,526
3327744,12500,2756383,526
3340244,12500,2749917,526
3352744,12500,2749549,526
3365244,12500,2751749,526
3377744,12500,2755095,526
3390244,12500,2757768,526
3402748,12504,2758332,526
3415252,12504,2756427,526
3427752,12500,2753182,526
3440252,12500,2750255,526
3452752,12500,2751837,526
3465252,12500,2754864,526
3477756,12504,2757490,526
3490260,12504,2758044,526
3502760,12500,2756696,526
3515260,12500,2754043,526
3527760,12500,2751570,526
3540264,12504,2750841,526
3552764,12500,2754502,526
3565264,12500,2757023,526
3577764,12500,2757849,526
3590264,12500,2756809,526
3602764,12500,2754572,526
3615264,12500,2752325,526
