Times (us),interval (us),strain (raw),sensorValue0 (raw)
66268,66268,2731411,517
78772,12504,2729447,517
91276,12504,2728015,517
103776,12500,2728043,517
116280,12504,2727865,517
128780,12500,2727649,517
141280,12500,2727693,517
153784,12504,2727995,517
166284,12500,2728377,517
178784,12500,2727749,518
191284,12500,2727832,517
203788,12504,2728231,517
216288,12500,2728369,517
228788,12500,2728077,518
241288,12500,2727846,518
253788,12500,2728107,519
266292,12504,2728371,522
278792,12500,2728252,522
291296,12504,2727543,521
303800,12504,2728218,521
316300,12500,2728437,518
328800,12500,2727990,518
341304,12504,2727506,521
353804,12500,2727772,521
366304,12500,2728396,521
378808,12504,2728655,521
391312,12504,2728187,521
403812,12500,2727886,521
416312,12500,2728301,520
428812,12500,2728404,520
441312,12500,2728117,520
453816,12504,2727757,520
466316,12500,2727806,520
478820,12504,2728243,520
491320,12500,2728215,520
503824,12504,2727923,521
516324,12500,2727917,521
528824,12500,2728067,522
541328,12504,2727916,522
553828,12500,2727719,521
566328,12500,2727553,521
578832,12504,2727843,521
591332,12500,2727979,521
603832,12500,2727700,521
616332,12500,2727569,521
628832,12500,2727742,520
641336,12504,2727533,521
653836,12500,2727601,521
666336,12500,2729093,521
678840,12504,2731816,521
691344,12504,2732345,522
703844,12500,2732349,522
716348,12504,2731784,522
728852,12504,2729688,521
741352,12500,2727673,521
753856,12504,2727809,519
766356,12500,2727781,517
778856,12500,2727903,517
791360,12504,2727921,518
803860,12500,2727719,517
816360,12500,2727879,518
828860,12500,2727892,517
841360,12500,2728033,518
853860,12500,2727737,518
866360,12500,2727835,517
878860,12500,2728043,518
891360,12500,2728174,517
903864,12504,2727944,518
916364,12500,2727870,518
928864,12500,2727861,518
941364,12500,2728031,518
953864,12500,2727878,518
966364,12500,2727699,518
978864,12500,2727697,518
991368,12504,2727959,518
1003868,12500,2727927,518
1016368,12500,2727737,518
1028872,12504,2727667,517
1041372,12500,2727801,517
1053872,12500,2729309,517
1066372,12500,2732294,517
1078872,12500,2732344,517
1091376,12504,2730730,517
1103880,12504,2729285,517
1116380,12500,2729127,517
1128880,12500,2728911,517
1141380,12500,2728833,517
1153884,12504,2729098,516
1166384,12500,2729292,516
1178888,12504,2729079,516
1191392,12504,2729021,516
1203896,12504,2729439,516
1216396,12500,2729373,516
1228896,12500,2729091,516
1241396,12500,2728992,516
1253900,12504,2729248,516
1266400,12500,2729577,516
1278900,12500,2729506,516
1291400,12500,2729111,516
1303900,12500,2729096,516
1316400,12500,2729444,516
1328900,12500,2729319,517
1341400,12500,2729044,517
1353900,12500,2728819,517
1366400,12500,2729123,518
1378900,12500,2729342,521
1391400,12500,2729119,521
1403900,12500,2728811,521
1416404,12504,2729024,521
1428908,12504,2729134,521
1441408,12500,2728881,521
