Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,440,387,355
8,439,420,394
12,439,431,415
16,439,434,425
20,439,435,429
24,439,435,430
28,439,435,431
32,439,435,431
36,439,435,431
40,439,435,431
44,439,435,431
48,439,435,431
52,439,435,431
56,439,435,431
60,439,435,431
64,439,435,431
68,439,435,431
72,439,435,431
76,439,435,431
80,439,435,431
84,439,435,431
88,439,435,431
92,439,435,431
96,439,435,431
100,439,435,431
104,439,435,431
108,439,435,431
112,439,435,431
116,439,435,431
120,439,435,431
124,439,435,431
128,439,435,431
132,439,435,431
136,439,435,431
140,439,435,431
144,439,435,431
148,439,435,431
152,439,435,431
156,439,435,431
160,439,435,431
164,439,435,431
168,439,435,431
172,439,435,431
176,439,435,431
180,439,435,431
184,439,435,431
188,439,435,431
192,439,435,431
196,439,435,431
200,439,435,431
204,439,435,431
208,439,435,431
212,439,435,431
216,439,435,431
220,439,435,431
224,439,435,431
228,439,435,431
232,439,435,431
236,439,435,431
240,439,435,431
244,439,435,431
248,439,435,431
252,439,435,431
256,439,435,431
260,439,435,431
264,439,435,431
268,439,435,431
272,439,435,431
276,439,435,431
280,439,435,431
284,439,435,431
288,439,435,431
292,439,435,431
296,439,435,431
300,440,435,431
304,439,435,431
308,439,435,431
312,439,435,431
316,439,435,431
320,439,435,431
324,439,435,431
328,439,435,431
332,439,435,431
336,439,435,431
340,439,435,431
344,439,435,431
348,439,435,431
352,439,435,431
356,439,435,431
360,439,435,431
364,439,435,431
368,439,435,431
372,439,435,431
376,439,435,431
380,439,435,431
384,439,435,431
388,439,435,431
392,439,435,431
396,439,435,431
400,439,435,431
404,439,435,431
408,439,435,431
412,439,435,431
416,439,434,430
420,439,434,430
424,441,436,431
428,441,437,432
432,441,437,432
436,438,435,431
440,431,429,427
444,436,431,427
448,439,434,429
452,441,436,431
456,442,437,432
460,443,438,433
464,444,439,434
468,441,437,433
472,437,434,431
476,436,432,429
480,435,431,428
484,437,432,428
488,438,433,429
492,439,434,429
496,446,439,433
500,450,443,437
504,446,442,437
508,439,438,435
512,436,433,431
516,432,430,427
520,434,430,426
524,439,433,428
528,443,437,431
532,443,438,433
536,440,436,432
540,438,434,431
544,437,433,430
548,438,433,429
552,439,435,430
556,440,435,431
560,440,436,431
564,438,434,430
568,434,432,428
572,433,430,427
576,438,432,428
580,439,434,429
584,440,435,431
588,440,436,431
592,439,435,431
596,439,435,431
600,438,434,430
604,439,434,430
608,439,434,430
612,440,435,431
616,441,436,431
620,442,438,433
624,442,438,433
628,441,436,432
632,441,436,432
636,444,439,434
640,443,439,434
644,441,437,433
648,440,436,433
652,440,436,432
656,440,436,432
660,441,437,432
664,441,437,432
668,440,436,432
672,439,435,431
676,438,434,430
680,438,434,430
684,438,434,430
688,438,434,430
692,438,434,430
696,438,434,430
700,438,434,430
704,439,434,430
708,439,435,430
712,439,435,431
716,439,435,431
720,439,435,431
724,438,435,430
728,438,434,430
732,439,434,430
736,439,434,430
740,439,434,430
744,438,434,430
748,438,434,430
752,438,434,430
756,438,434,430
760,438,433,429
764,438,433,429
768,439,435,430
772,444,438,433
776,445,440,435
780,443,439,435
784,443,439,435
788,442,438,434
792,440,436,433
796,438,434,431
800,437,433,430
804,436,432,428
808,437,432,428
812,437,433,428
816,438,433,429
820,438,433,429
824,439,434,429
828,439,435,430
832,439,435,430
836,438,434,430
840,439,435,430
844,439,435,430
848,439,435,431
852,440,436,431
856,441,436,432
860,441,437,432
864,443,438,433
868,445,439,435
872,443,439,435
876,442,438,434
880,443,439,434
884,443,439,435
888,442,438,434
892,440,436,432
896,438,435,431
900,437,434,430
904,436,433,429
908,436,432,428
912,436,432,428
916,436,432,428
920,437,432,428
924,437,433,428
928,437,433,428
932,437,433,428
936,437,433,428
940,437,433,428
944,436,432,428
948,436,432,428
952,436,432,428
956,437,432,428
960,438,433,429
964,439,434,430
968,439,435,430
972,439,435,430
976,439,435,430
980,438,434,430
984,438,434,430
988,437,433,429
992,436,432,428
996,435,431,427
1000,435,431,427
1004,436,432,427
1008,438,433,428
1012,439,434,429
1016,439,435,430
1020,439,435,431
1024,439,435,431
1028,439,435,430
