Times (us),interval (us),strain (raw),sensorValue0 (raw)
3179048,12504,2777983,517
3191548,12500,2773590,518
3204052,12504,2764553,517
3216552,12500,2764862,518
3229052,12500,2768849,518
3241556,12504,2774040,518
3254056,12500,2777872,517
3266556,12500,2778082,517
3279056,12500,2774655,518
3291556,12500,2769569,518
3304056,12500,2765593,518
3316556,12500,2767753,517
3329060,12504,2772666,517
3341560,12500,2776594,518
3354060,12500,2777571,518
3366560,12500,2775158,518
3379060,12500,2770749,518
3391560,12500,2767015,518
3404060,12500,2765891,518
3416560,12500,2767832,517
3429060,12500,2775419,518
3441560,12500,2776631,518
3454060,12500,2775092,518
3466564,12504,2771480,518
3479068,12504,2767794,517
3491568,12500,2766340,517
3504068,12500,2767789,517
3516572,12504,2771178,518
3529072,12500,2774620,518
3541576,12504,2775033,517
3554076,12500,2771632,517
3566576,12500,2768321,518
3579076,12500,2766775,517
3591576,12500,2768039,518
3604076,12500,2771327,517
3616576,12500,2774537,517
3629076,12500,2775962,517
3641576,12500,2775036,517
3654080,12504,2769112,517
3666580,12500,2767298,517
3679080,12500,2768215,518
3691580,12500,2770893,517
3704080,12500,2773786,517
3716584,12504,2775335,517
3729084,12500,2774580,517
3741584,12500,2772040,518
3754088,12504,2769205,517
3766588,12500,2768114,518
3779088,12500,2770504,518
3791592,12504,2773232,518
3804092,12500,2774952,517
3816592,12500,2774711,518
3829096,12504,2772479,517
3841596,12500,2769784,517
3854100,12504,2767845,518
3866604,12504,2768082,518
3879108,12504,2772890,521
3891608,12500,2774845,518
3904112,12504,2774774,518
3916616,12504,2772963,517
3929116,12500,2770283,518
3941616,12500,2768353,518
3954116,12500,2768178,517
3966616,12500,2769712,518
3979116,12500,2771987,518
3991616,12500,2774378,518
4004116,12500,2773245,518
4016616,12500,2771396,519
4029116,12500,2769447,519
4041620,12504,2768609,519
4054120,12500,2769560,520
4066620,12500,2771590,519
4079120,12500,2773382,519
4091620,12500,2774072,519
4104120,12500,2771451,519
4116620,12500,2769824,518
4129124,12504,2769103,519
4141624,12500,2769635,519
4154124,12500,2771132,518
4166624,12500,2772730,518
4179124,12500,2773386,518
4191624,12500,2772773,518
4204124,12500,2771333,519
4216624,12500,2769070,518
4229124,12500,2769502,518
4241628,12504,2770931,518
4254128,12500,2772323,518
4266628,12500,2773114,519
4279128,12500,2772708,519
4291632,12504,2771263,518
4304136,12504,2769761,518
4316640,12504,2768976,518
4329140,12500,2770523,518
4341640,12500,2772086,518
4354140,12500,2772916,518
4366644,12504,2772693,518
4379144,12500,2771653,518
4391644,12500,2770251,518
4404144,12500,2769565,518
4416644,12500,2769581,518
4429144,12500,2770593,518
4441644,12500,2772754,518
4454144,12500,2772649,518
4466644,12500,2771523,518
4479144,12500,2770009,518
4491644,12500,2769074,518
4504144,12500,2769291,518
4516644,12500,2770219,518
4529144,12500,2771446,518
4541648,12504,2772438,518
4554148,12500,2771543,518
4566648,12500,2770038,518
4579148,12500,2769157,518
4591648,12500,2769133,518
4604148,12500,2769977,518
4616648,12500,2771302,518
4629148,12500,2772395,517
4641648,12500,2772605,518
4654148,12500,2771703,518
4666652,12504,2769187,518
4679152,12500,2769004,518
4691656,12504,2769466,517
4704156,12500,2770637,517
4716656,12500,2771787,517
4729160,12504,2772090,517
4741660,12500,2771615,517
4754160,12500,2770323,517
4766664,12504,2769082,517
4779164,12500,2768953,517
4791664,12500,2769960,517
4804164,12500,2771283,517
4816664,12500,2771919,518
4829164,12500,2771511,517
4841664,12500,2770379,517
4854168,12504,2769301,517
4866672,12504,2768703,517
4879176,12504,2768658,517
4891676,12500,2770277,517
4904176,12500,2771074,517
4916676,12500,2771065,517
4929176,12500,2770127,517
4941676,12500,2769142,517
4954176,12500,2768550,517
4966676,12500,2768646,517
4979176,12500,2769165,517
4991676,12500,2769921,517
5004176,12500,2770466,517
5016676,12500,2769856,517
5029176,12500,2769219,517
5041676,12500,2768695,517
5054176,12500,2768638,517
5066680,12504,2769265,517
5079180,12500,2769924,517
5091684,12504,2770264,517
5104184,12500,2769264,517
5116688,12504,2768459,517
5129188,12500,2768156,517
5141688,12500,2768586,516
5154188,12500,2769465,517
5166692,12504,2770367,517
5179192,12500,2770521,516
5191692,12500,2769724,517
5204192,12500,2768447,517
5216692,12500,2767317,516
5229192,12500,2768015,516
5241692,12500,2769274,516
5254192,12500,2770528,516
5266696,12504,2770665,516
5279200,12504,2769730,517
5291700,12500,2768348,517
5304200,12500,2767224,517
5316700,12500,2766896,517
5329204,12504,2768895,517
5341704,12500,2769966,517
5354204,12500,2770296,517
5366704,12500,2770068,516
5379204,12500,2769123,517
5391704,12500,2767859,517
5404204,12500,2767169,516
5416704,12500,2767543,517
5429204,12500,2768292,516
5441704,12500,2769572,516
5454208,12504,2769543,516
5466708,12500,2768984,516
5479212,12504,2768278,516
5491716,12504,2767853,516
5504216,12500,2767990,516
5516716,12500,2768375,516
5529220,12504,2768717,516
5541724,12504,2768993,516
5554228,12504,2768227,516
5566728,12500,2767889,516
5579232,12504,2768088,516
5591732,12500,2768562,516
5604232,12500,2768892,516
5616732,12500,2768928,516
5629236,12504,2768807,516
5641740,12504,2768537,519
5654240,12500,2768215,520
5666744,12504,2768190,518
5679244,12500,2768384,519
5691744,12500,2768490,517
5704244,12500,2768672,517
5716744,12500,2768753,518
5729248,12504,2768473,517
5741748,12500,2767993,517
5754252,12504,2767520,517
5766752,12500,2767347,516
5779252,12500,2768293,517
5791752,12500,2768832,516
5804252,12500,2769176,516
5816752,12500,2768841,516
5829252,12500,2767923,516
5841752,12500,2767279,516
5854252,12500,2767258,516
5866756,12504,2767593,517
5879260,12504,2768221,517
5891760,12500,2769346,516
5904260,12500,2768882,516
5916760,12500,2767988,516
5929264,12504,2767126,516
5941768,12504,2766600,517
5954268,12500,2766916,516
5966768,12500,2767647,516
5979268,12500,2768489,517
5991768,12500,2768756,516
6004268,12500,2767998,516
6016772,12504,2767322,517
6029272,12500,2766843,517
6041772,12500,2766724,517
6054276,12504,2767191,517
6066776,12500,2767962,517
6079276,12500,2768422,517
6091780,12504,2768532,517
6104280,12500,2768319,517
6116780,12500,2767125,517
6129280,12500,2767196,517
6141780,12500,2767366,517
6154284,12504,2767747,518
6166788,12504,2768054,517
6179292,12504,2768051,517
6191792,12500,2767558,517
6204296,12504,2767095,517
6216796,12500,2766897,517
6229296,12500,2767422,516
6241796,12500,2767761,517
6254296,12500,2767970,516
6266796,12500,2767884,517
6279300,12504,2767297,517
6291804,12504,2766882,517
6304304,12500,2766921,517
6316804,12500,2767313,517
6329304,12500,2767420,517
6341804,12500,2768334,517
6354304,12500,2768462,516
6366804,12500,2768278,516
6379304,12500,2768065,517
6391804,12500,2768112,517
6404304,12500,2768045,517
6416804,12500,2767785,517
6429304,12500,2767570,517
6441808,12504,2767641,517
6454308,12500,2768411,517
6466812,12504,2768458,517
