Times (us),interval (us),strain (raw),sensorValue0 (raw)
2803732,12504,2772715,309
2816236,12504,2773078,310
2828736,12500,2773229,310
2841236,12500,2772942,309
2853736,12500,2772625,309
2866236,12500,2772376,310
2878740,12504,2772202,309
2891240,12500,2772383,308
2903740,12500,2772677,308
2916240,12500,2772924,309
2928744,12504,2772991,309
2941248,12504,2772885,307
2953748,12500,2772618,307
2966248,12500,2772303,308
2978748,12500,2772058,308
2991248,12500,2772211,307
3003752,12504,2772445,306
3016252,12500,2772581,307
3028752,12500,2772619,307
3041252,12500,2772613,306
3053752,12500,2772465,306
3066252,12500,2772391,307
3078752,12500,2772444,307
3091256,12504,2772544,305
3103756,12500,2772516,305
3116256,12500,2772522,306
3128756,12500,2772520,306
3141260,12504,2772511,305
3153760,12500,2772389,304
3166264,12504,2772280,305
3178764,12500,2772289,305
3191268,12504,2772149,304
3203772,12504,2772311,304
3216272,12500,2772637,304
3228772,12500,2772629,304
3241272,12500,2772455,303
3253772,12500,2772210,303
3266272,12500,2772235,304
3278772,12500,2772292,304
3291272,12500,2772224,303
3303772,12500,2772266,302
3316272,12500,2772298,303
3328772,12500,2772541,303
3341272,12500,2772619,302
3353772,12500,2772553,302
3366272,12500,2772550,303
3378776,12504,2772442,303
3391276,12500,2772341,302
3403784,12508,2772188,301
3416288,12504,2772247,302
3428788,12500,2772437,302
3441288,12500,2772559,301
3453788,12500,2772524,301
3466288,12500,2772622,302
3478792,12504,2772769,302
3491292,12500,2772613,301
3503796,12504,2772326,300
3516296,12500,2772232,301
3528800,12504,2772232,301
3541300,12500,2772667,300
3553804,12504,2772936,299
3566308,12504,2772889,301
3578812,12504,2772770,301
3591312,12500,2772730,300
3603812,12500,2772751,299
3616312,12500,2772638,300
3628812,12500,2772405,300
3641312,12500,2772403,299
3653812,12500,2772932,299
3666312,12500,2772977,300
3678812,12500,2772917,300
3691312,12500,2772788,299
3703816,12504,2772760,298
3716320,12504,2772829,299
3728824,12504,2772879,299
3741324,12500,2772866,298
3753824,12500,2773095,298
3766324,12500,2772927,299
3778824,12500,2772907,299
3791324,12500,2772846,298
3803824,12500,2772802,297
3816324,12500,2772869,298
3828824,12500,2772929,298
3841328,12504,2772851,297
3853828,12500,2773017,297
3866328,12500,2773027,298
3878832,12504,2772789,298
3891336,12504,2772835,297
3903836,12500,2772781,296
3916336,12500,2772858,297
3928836,12500,2772902,297
3941336,12500,2772738,296
3953840,12504,2772680,296
3966340,12500,2772640,297
3978840,12500,2773022,297
3991340,12500,2773654,296
4003848,12508,2773954,295
4016348,12500,2774078,296
4028848,12500,2774079,296
4041352,12504,2773994,295
4053856,12504,2774066,295
4066360,12504,2774016,296
4078860,12500,2773996,296
4091360,12500,2774190,295
4103864,12504,2774422,294
4116368,12504,2774602,295
4128868,12500,2774819,295
4141368,12500,2774846,294
4153868,12500,2774597,294
4166368,12500,2774311,295
4178868,12500,2774091,295
4191372,12504,2774306,294
4203872,12500,2774660,293
4216372,12500,2774950,294
4228876,12504,2775098,294
4241376,12500,2774957,293
4253876,12500,2774722,293
4266376,12500,2774591,294
4278880,12504,2774411,294
4291384,12504,2774450,293
4303884,12500,2774937,293
4316384,12500,2775327,294
4328884,12500,2775499,294
4341384,12500,2775434,293
4353884,12500,2775159,292
4366384,12500,2774965,293
4378888,12504,2774950,293
4391388,12500,2775087,292
4403892,12504,2775326,292
4416396,12504,2775737,293
4428896,12500,2775994,293
4441396,12500,2775938,292
4453900,12504,2775729,292
4466400,12500,2775723,293
4478900,12500,2775691,293
4491400,12500,2775725,292
4503900,12500,2775817,291
4516400,12500,2776574,292
4528900,12500,2776755,292
4541404,12504,2776881,291
4553904,12500,2776891,291
4566408,12504,2776901,292
4578908,12500,2777399,292
4591408,12500,2777982,291
4603912,12504,2778681,291
4616416,12504,2779530,292
4628920,12504,2780248,292
4641420,12500,2780358,291
4653920,12500,2780270,290
4666420,12500,2780030,291
4678920,12500,2780084,291
4691420,12500,2780076,290
4703920,12500,2780336,290
4716420,12500,2780564,291
4728924,12504,2780789,291
4741428,12504,2781043,290
4753932,12504,2780975,290
4766432,12500,2780865,291
4778936,12504,2780896,291
4791436,12500,2780948,290
4803936,12500,2781039,289
4816436,12500,2781370,290
4828936,12500,2781686,290
4841436,12500,2781993,289
4853936,12500,2782024,289
4866436,12500,2782043,290
4878940,12504,2781921,290
4891440,12500,2781858,289
4903944,12504,2781854,289
4916444,12500,2781957,290
4928944,12500,2782200,290
4941444,12500,2782613,289
4953944,12500,2783109,288
4966444,12500,2782843,289
4978944,12500,2782671,290
4991448,12504,2782437,289
5003948,12500,2782340,288
5016448,12500,2782555,289
5028948,12500,2782857,289
5041448,12500,2783159,288
5053952,12504,2783398,288
