Times (us),interval (us),strain (raw),sensorValue0 (raw)
3179048,12500,2761761,517
3191548,12500,2761649,518
3204048,12500,2761479,520
3216548,12500,2761596,520
3229048,12500,2761504,520
3241548,12500,2761455,519
3254048,12500,2761460,519
3266548,12500,2761567,519
3279052,12504,2761613,519
3291556,12504,2761579,518
3304056,12500,2761432,518
3316560,12504,2761587,519
3329060,12500,2761612,519
3341560,12500,2761784,519
3354064,12504,2761644,519
3366568,12504,2761584,519
3379068,12500,2761786,518
3391572,12504,2761742,518
3404072,12500,2761390,519
3416572,12500,2761431,519
3429072,12500,2761791,519
3441572,12500,2761496,519
3454072,12500,2761169,520
3466572,12500,2761366,520
3479072,12500,2761548,519
3491572,12500,2761540,520
3504072,12500,2761368,520
3516576,12504,2761289,520
3529076,12500,2761379,520
3541576,12500,2761837,519
3554076,12500,2761364,519
3566576,12500,2761392,518
3579076,12500,2761930,518
3591580,12504,2762011,518
3604080,12500,2761648,518
3616584,12504,2761295,519
3629084,12500,2761517,518
3641584,12500,2761848,519
3654084,12500,2761606,519
3666584,12500,2761378,519
3679088,12504,2761463,519
3691588,12500,2761602,519
3704092,12504,2761560,519
3716596,12504,2761408,519
3729096,12500,2761419,516
3741600,12504,2761599,516
3754104,12504,2761855,517
3766604,12500,2761509,517
3779104,12500,2761622,517
3791608,12504,2761659,516
3804108,12500,2761725,516
3816608,12500,2761579,517
3829112,12504,2761629,516
3841612,12500,2761533,516
3854116,12504,2761524,517
3866616,12500,2761689,517
3879116,12500,2761652,517
3891616,12500,2761816,517
3904116,12500,2761769,518
3916616,12500,2761591,518
3929116,12500,2761438,519
3941616,12500,2761515,519
3954116,12500,2761562,517
3966620,12504,2761500,519
3979120,12500,2761481,519
3991620,12500,2761617,520
4004120,12500,2761812,519
4016620,12500,2761687,520
4029120,12500,2761481,521
4041620,12500,2761353,521
4054120,12500,2761550,521
4066620,12500,2761510,520
4079124,12504,2761275,520
4091624,12500,2761176,521
4104124,12500,2761643,520
4116624,12500,2761467,519
4129128,12504,2761177,521
4141628,12500,2761347,521
4154128,12500,2761461,521
4166628,12500,2761450,521
4179128,12500,2761385,520
4191628,12500,2761143,520
4204132,12504,2760918,519
4216632,12500,2762652,520
4229132,12500,2761352,519
4241636,12504,2760039,520
4254136,12500,2760912,519
4266636,12500,2762742,520
4279136,12500,2762462,519
4291636,12500,2760362,519
4304140,12504,2759942,519
4316644,12504,2762059,520
4329144,12500,2761673,521
4341644,12500,2760085,520
4354144,12500,2760792,520
4366644,12500,2762372,520
4379144,12500,2762523,519
4391644,12500,2761366,519
4404148,12504,2760665,518
4416648,12500,2761294,515
4429148,12500,2762060,517
4441648,12500,2761379,517
4454152,12504,2760971,517
4466652,12500,2761369,517
4479152,12500,2761755,513
4491652,12500,2761852,515
4504152,12500,2761505,517
4516652,12500,2761205,517
4529160,12508,2761462,514
4541660,12500,2761929,514
4554160,12500,2761249,508
4566660,12500,2761243,512
4579160,12500,2762065,513
4591660,12500,2762492,513
4604164,12504,2761712,513
4616664,12500,2761027,513
4629168,12504,2761333,514
4641668,12500,2762074,515
4654168,12500,2761263,515
4666668,12500,2761251,515
4679168,12500,2761637,515
4691668,12500,2761914,515
4704168,12500,2761822,515
4716672,12504,2761386,516
4729172,12500,2761195,516
4741672,12500,2761618,516
4754172,12500,2761847,515
4766672,12500,2761169,516
4779176,12504,2761642,516
4791676,12500,2762160,516
4804176,12500,2761967,516
4816676,12500,2760975,516
4829176,12500,2761097,516
4841676,12500,2762037,516
4854176,12500,2762251,516
4866676,12500,2761286,516
4879176,12500,2761312,516
4891680,12504,2761966,516
4904180,12500,2761784,516
4916680,12500,2760932,516
4929180,12500,2760909,516
4941680,12500,2761655,517
4954180,12500,2761872,518
4966680,12500,2761253,519
4979180,12500,2760657,517
4991680,12500,2761321,516
5004180,12500,2761492,515
5016680,12500,2761320,513
5029180,12500,2760834,509
5041684,12504,2761249,507
5054184,12500,2762087,513
5066684,12500,2762219,515
5079184,12500,2761603,516
5091684,12500,2760893,516
5104184,12500,2761782,516
5116684,12500,2761742,518
5129184,12500,2761154,517
5141684,12500,2761123,516
5154184,12500,2761422,517
5166688,12504,2761564,518
5179192,12504,2761398,519
5191692,12500,2760950,517
5204192,12500,2760867,517
5216692,12500,2761549,517
5229192,12500,2761354,517
5241696,12504,2761121,517
5254196,12500,2761070,517
5266696,12500,2761355,519
5279196,12500,2761599,519
5291700,12504,2761229,519
5304204,12504,2760990,519
5316708,12504,2761141,519
5329208,12500,2761178,519
5341712,12504,2761287,519
5354216,12504,2761277,517
5366716,12500,2761174,517
5379216,12500,2761265,518
5391716,12500,2761507,519
5404216,12500,2761274,519
5416720,12504,2760842,519
5429224,12504,2760862,520
5441724,12500,2761527,520
5454228,12504,2760762,520
5466728,12500,2760680,520
5479228,12500,2761347,517
5491732,12504,2761572,517
5504236,12504,2761084,517
5516736,12500,2760668,517
5529236,12500,2761003,520
5541740,12504,2761351,519
5554240,12500,2760916,519
5566744,12504,2761200,519
5579244,12500,2761235,518
5591744,12500,2761147,517
5604244,12500,2761119,518
5616748,12504,2761038,516
5629248,12500,2760944,518
5641748,12500,2760932,518
5654252,12504,2761147,518
5666752,12500,2760947,519
5679252,12500,2760854,517
5691752,12500,2761180,515
5704252,12500,2761315,503
5716756,12504,2761140,513
5729256,12500,2761243,515
