Times (us),interval (us),strain (raw),sensorValue0 (raw)
3179036,12504,2762219,529
3191536,12500,2762383,529
3204040,12504,2762114,529
3216540,12500,2762265,529
3229040,12500,2762562,530
3241540,12500,2762591,530
3254040,12500,2762430,530
3266544,12504,2762292,530
3279044,12500,2762188,530
3291544,12500,2762353,530
3304048,12504,2762633,530
3316552,12504,2762247,531
3329052,12500,2762267,530
3341556,12504,2762510,530
3354056,12500,2762660,530
3366556,12500,2762624,530
3379056,12500,2762298,530
3391560,12504,2762239,530
3404060,12500,2762483,530
3416564,12504,2762479,529
3429064,12500,2762260,529
3441564,12500,2762194,529
3454064,12500,2762328,529
3466564,12500,2762193,529
3479064,12500,2762022,529
3491564,12500,2762257,529
3504064,12500,2762842,529
3516568,12504,2762718,529
3529068,12500,2761747,529
3541572,12504,2762357,530
3554072,12500,2762728,530
3566576,12504,2762437,530
3579076,12500,2761998,530
3591576,12500,2762352,530
3604080,12504,2762767,530
3616580,12500,2762359,530
3629084,12504,2761763,530
3641588,12504,2762040,530
3654092,12504,2762826,530
3666592,12500,2762313,530
3679092,12500,2762075,529
3691592,12500,2762339,530
3704092,12500,2762527,530
3716596,12504,2762206,530
3729100,12504,2762004,530
3741600,12500,2762769,530
3754100,12500,2762914,530
3766604,12504,2760327,530
3779108,12504,2762176,530
3791612,12504,2764637,530
3804112,12500,2763929,529
3816612,12500,2761121,529
3829112,12500,2760338,529
3841616,12504,2762298,529
3854116,12500,2763184,529
3866620,12504,2762049,529
3879124,12504,2762561,529
3891624,12500,2763320,529
3904124,12500,2762810,529
3916624,12500,2761699,530
3929124,12500,2761262,530
3941624,12500,2761811,530
3954124,12500,2762851,530
3966624,12500,2763196,530
3979124,12500,2762706,530
3991624,12500,2761340,530
4004124,12500,2761986,530
4016624,12500,2762823,530
4029124,12500,2762391,530
4041628,12504,2761507,530
4054128,12500,2761719,530
4066628,12500,2762524,530
4079128,12500,2762758,530
4091632,12504,2762125,530
4104132,12500,2761721,530
4116636,12504,2762734,530
4129136,12500,2762940,530
4141636,12500,2762207,530
4154136,12500,2761663,530
4166636,12500,2761980,530
4179136,12500,2762541,530
4191640,12504,2762780,530
4204140,12500,-437979,530
4226736,22596,2762433,530
4239236,12500,2762636,530
4251736,12500,2762392,530
4264236,12500,2762228,530
4276736,12500,2762273,530
4289236,12500,2762495,530
4301736,12500,2762594,530
4314236,12500,2762259,530
4326736,12500,2761995,530
4339236,12500,2762564,530
4351736,12500,2762533,530
4364236,12500,2762295,529
4376736,12500,2761900,529
4389236,12500,2762027,529
4401736,12500,2762317,530
4414236,12500,2762280,530
4426736,12500,2762209,530
4439236,12500,2762321,530
4451736,12500,2762438,530
4464236,12500,2762156,530
4476736,12500,2761761,530
4489240,12504,2761925,529
4501744,12504,2762216,529
4514244,12500,2762288,530
4526744,12500,2762198,530
4539244,12500,2762302,530
4551748,12504,2762497,529
4564248,12500,2762030,529
4576748,12500,2762012,529
4589252,12504,2762099,529
4601752,12500,2761885,529
4614252,12500,2761831,529
4626752,12500,2762172,529
4639252,12500,2762498,529
4651752,12500,2762333,529
4664252,12500,2761958,529
4676756,12504,2762207,529
4689260,12504,2762037,529
4701760,12500,2761907,529
4714260,12500,2762173,529
4726760,12500,2762325,529
4739260,12500,2762198,529
4751764,12504,2762124,530
4764264,12500,2762236,530
4776768,12504,2762220,530
4789268,12500,2761784,530
4801768,12500,2762013,530
4814268,12500,2762296,530
4826768,12500,2762258,530
4839268,12500,2762139,529
4851772,12504,2762117,529
4864272,12500,2762084,529
4876772,12500,2761832,530
4889272,12500,2761977,531
4901776,12504,2762354,530
4914276,12500,2761698,530
4926776,12500,2761611,530
4939280,12504,2762449,530
4951784,12504,2762752,530
