Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,441,397,371
8,440,424,403
12,440,432,419
16,440,434,426
20,440,436,430
24,440,436,431
28,440,436,431
32,440,435,431
36,440,436,432
40,440,436,432
44,440,436,432
48,440,435,431
52,440,436,431
56,440,436,432
60,440,436,432
64,440,435,431
68,440,436,431
72,440,436,432
76,440,436,432
80,440,436,431
84,440,436,431
88,440,436,432
92,440,437,433
96,440,436,432
100,440,436,432
104,440,436,432
108,441,437,433
112,440,436,432
116,440,436,432
120,440,436,432
124,440,437,432
128,440,436,432
132,440,436,431
136,440,436,432
140,440,436,432
144,440,436,432
148,440,436,431
152,440,436,432
156,440,436,432
160,440,436,432
164,440,436,431
168,440,436,431
172,440,436,432
176,440,436,432
180,440,436,431
184,440,435,431
188,440,436,432
192,440,436,432
196,440,436,431
200,440,436,431
204,440,436,432
208,440,436,432
212,440,436,432
216,440,436,431
220,440,436,432
224,440,436,432
228,440,436,432
232,440,435,431
236,440,436,432
240,440,436,432
244,440,436,432
248,440,435,431
252,440,436,431
256,440,436,432
260,440,436,432
264,440,435,431
268,440,436,431
272,440,436,432
276,440,436,432
280,440,435,431
284,440,435,431
288,440,436,432
292,440,436,432
296,440,436,431
300,440,436,431
304,440,436,432
308,440,437,432
312,440,436,432
316,440,436,431
320,440,436,432
324,440,436,432
328,440,436,432
332,440,435,431
336,440,436,432
340,440,436,432
344,440,436,432
348,440,435,431
352,440,436,432
356,440,436,432
360,440,436,432
364,440,435,431
368,440,436,432
372,440,436,432
376,440,436,432
380,440,435,431
384,440,436,431
388,440,436,432
392,440,436,432
396,440,436,432
400,440,436,431
404,440,436,432
408,440,436,432
412,440,436,432
416,440,435,431
420,440,436,432
424,440,436,432
428,440,436,432
432,440,435,431
436,440,435,431
440,440,436,432
444,440,436,432
448,440,436,431
452,440,436,432
456,440,436,432
460,440,436,432
464,440,435,431
468,440,436,431
472,440,436,432
476,440,436,432
480,440,435,431
484,440,436,431
488,440,436,432
492,440,436,432
496,440,436,431
500,440,436,431
504,440,436,432
508,440,437,433
512,440,436,432
516,440,436,431
520,440,436,432
524,440,437,432
528,440,436,432
532,440,436,431
536,440,436,432
540,440,436,432
544,440,436,432
548,440,436,431
552,440,436,432
556,440,436,432
560,440,436,432
564,440,435,431
568,440,435,431
572,440,436,432
576,440,436,432
580,440,435,431
584,440,436,431
588,440,436,432
592,440,437,432
596,440,436,432
600,440,436,431
604,440,436,432
608,440,436,432
612,440,436,432
616,440,435,431
620,440,436,432
624,440,437,432
628,440,436,432
632,440,435,431
636,440,436,432
640,440,436,432
644,440,436,432
648,440,435,431
652,440,435,431
656,440,436,432
660,440,436,432
664,440,435,431
668,440,436,431
672,440,436,432
676,440,436,432
680,440,435,431
