Times (us),interval (us),strain (raw),sensorValue0 (raw)
66000,66000,2740930,396
78500,12500,2740571,395
91000,12500,2740501,394
103504,12504,2740474,392
116004,12500,2740329,391
128508,12504,2740377,391
141008,12500,2740532,391
153508,12500,2740543,389
166012,12504,2740582,388
178512,12500,2740575,389
191012,12500,2740493,388
203516,12504,2740373,386
216016,12500,2740499,386
228516,12500,2740524,386
241016,12500,2740352,385
253516,12500,2740436,384
266016,12500,2740565,383
278516,12500,2740693,384
291016,12500,2740368,383
303516,12500,2740382,381
316016,12500,2740545,381
328516,12500,2740477,381
341016,12500,2740376,381
353520,12504,2740388,379
366020,12500,2740453,378
378520,12500,2740512,379
391024,12504,2740538,378
403524,12500,2740441,377
416024,12500,2740385,376
428524,12500,2740444,377
441024,12500,2740567,376
453524,12500,2740306,374
466024,12500,2740274,374
478524,12500,2740321,374
491024,12500,2740317,374
503524,12500,2740271,372
516024,12500,2740348,372
528524,12500,2740456,372
541028,12504,2740421,372
553528,12500,2740458,370
566028,12500,2740477,370
578528,12500,2740590,370
591028,12500,2740504,370
603528,12500,2740503,368
616028,12500,2740306,368
628528,12500,2740357,368
641028,12500,2740387,368
653532,12504,2740382,366
666032,12500,2740345,366
678532,12500,2740374,366
691032,12500,2740471,366
703532,12500,2740487,364
716032,12500,2740220,364
728532,12500,2740275,364
741036,12504,2740454,364
753540,12504,2740443,362
766040,12500,2740421,362
778544,12504,2740517,362
791044,12500,2740520,362
803544,12500,2740428,360
816048,12504,2740417,360
828552,12504,2740416,360
841052,12500,2740496,360
853552,12500,2740452,358
866056,12504,2740294,358
878556,12500,2740358,358
891056,12500,2742415,358
903556,12500,2757831,356
916056,12500,2780198,356
928556,12500,2788030,357
941064,12508,2760691,356
953568,12504,2748613,355
966068,12500,2748430,354
978568,12500,2757328,355
991068,12500,2766869,354
1003568,12500,2770987,353
1016068,12500,2769411,352
1028572,12504,2764996,353
1041072,12500,2761248,353
1053576,12504,2760962,351
1066076,12500,2763125,351
1078576,12500,2764574,351
1091076,12500,2764112,351
1103576,12500,2762703,349
1116076,12500,2761853,349
1128580,12504,2762319,350
1141080,12500,2763938,349
1153580,12500,2764631,348
1166084,12504,2762653,347
1178584,12500,2760792,348
1191084,12500,2760600,347
1203584,12500,2762051,346
1216088,12504,2763982,345
1228592,12504,2765206,346
1241092,12500,2764772,346
1253596,12504,2763360,344
1266096,12500,2761365,344
1278596,12500,2761632,345
1291096,12500,2762733,344
1303596,12500,2763970,343
1316096,12500,2764448,342
1328596,12500,2764099,343
1341096,12500,2763182,343
1353600,12504,2762221,341
1366104,12504,2761908,341
1378608,12504,2763399,342
1391112,12504,2764011,341
1403616,12504,2764056,340
1416116,12500,2763559,339
1428616,12500,2762961,340
1441116,12500,2762513,340
1453620,12504,2762420,338
1466120,12500,2762887,338
1478620,12500,2763402,339
1491124,12504,2763353,338
1503628,12504,2763130,337
1516128,12500,2763013,336
1528632,12504,2762978,337
1541132,12500,2762717,337
1553636,12504,2762736,335
1566136,12500,2762977,335
1578640,12504,2763249,336
1591140,12500,2763244,335
1603640,12500,2763168,334
1616140,12500,2763037,333
1628640,12500,2762965,334
1641140,12500,2762846,334
1653640,12500,2762834,333
1666140,12500,2762991,332
1678640,12500,2763246,333
1691140,12500,2763351,333
1703640,12500,2763097,331
1716144,12504,2762974,331
1728644,12500,2762962,332
1741144,12500,2762910,331
1753648,12504,2762889,330
1766152,12504,2763050,330
1778652,12500,2763093,330
1791152,12500,2763130,330
1803652,12500,2763036,329
1816156,12504,2763057,328
1828660,12504,2762903,329
1841164,12504,2762916,329
1853664,12500,2762974,328
1866164,12500,2763033,327
1878668,12504,2763136,328
1891172,12504,2763080,328
1903672,12500,2763158,326
1916172,12500,2762981,326
1928672,12500,2762972,327
1941172,12500,2762909,327
1953676,12504,2762968,325
1966176,12500,2763088,325
1978676,12500,2763111,326
1991180,12504,2763097,326
2003680,12500,2763057,324
2016184,12504,2763057,324
2028684,12500,2762914,325
2041184,12500,2762989,325
2053684,12500,2763016,323
2066184,12500,2762993,323
2078684,12500,2763025,324
2091188,12504,2763018,324
2103688,12500,2763014,322
2116188,12500,2762954,322
2128688,12500,2762704,323
2141192,12504,2763048,323
2153696,12504,2763021,321
2166196,12500,2763104,321
2178696,12500,2763041,322
2191196,12500,2762847,322
2203700,12504,2762881,320
2216204,12504,2762979,320
2228704,12500,2763019,321
2241204,12500,2762998,321
2253704,12500,2763010,319
2266208,12504,2763023,319
2278712,12504,2763025,320
2291212,12500,2762937,320
2303712,12500,2762930,318
2316216,12504,2763067,318
2328716,12500,2762959,319
2341216,12500,2762971,319
2353716,12500,2762887,317
2366220,12504,2762883,317
2378720,12500,2763009,318
2391220,12500,2763025,318
2403724,12504,2763048,316
2416224,12500,2762995,316
2428724,12500,2763052,317
2441228,12504,2762920,317
2453728,12500,2763014,316
2466228,12500,2762936,315
2478728,12500,2763066,316
2491228,12500,2763142,316
2503728,12500,2763152,315
2516228,12500,2763104,314
2528732,12504,2763036,315
2541236,12504,2762983,315
2553736,12500,2762888,314
2566236,12500,2762947,313
2578736,12500,2762967,314
2591236,12500,2763182,314
2603740,12504,2763141,313
2616244,12504,2763018,312
2628744,12500,2762883,313
2641244,12500,2762709,313
2653748,12504,2762768,312
2666248,12500,2763023,311
2678748,12500,2763031,312
2691248,12500,2763017,312
2703752,12504,2762940,311
2716256,12504,2762878,310
2728756,12500,2762818,311
2741256,12500,2762885,311
2753756,12500,2762887,310
2766260,12504,2762943,309
2778764,12504,2763087,310
2791264,12500,2763039,310
2803764,12500,2763013,309
2816268,12504,2762784,308
2828768,12500,2762776,309
2841272,12504,2762821,309
2853772,12500,2762913,308
2866272,12500,2762979,307
2878772,12500,2763077,308
2891276,12504,2762932,308
2903780,12504,2762934,307
2916280,12500,2762885,306
2928780,12500,2762755,307
2941280,12500,2762809,307
2953780,12500,2762818,306
2966280,12500,2762787,306
2978780,12500,2762949,306
2991280,12500,2763089,307
3003780,12500,2763116,306
3016284,12504,2762874,305
3028784,12500,2762835,306
3041288,12504,2762823,306
3053788,12500,2762831,305
3066288,12500,2762954,304
3078788,12500,2762990,305
3091292,12504,2763061,305
3103796,12504,2763083,304
3116296,12500,2763037,303
3128800,12504,2762973,304
3141304,12504,2762907,304
3153808,12504,2762725,303
3166312,12504,2762931,303
3178812,12500,2763206,303
3191312,12500,2763224,304
3203812,12500,2763132,303
3216312,12500,2763011,302
3228816,12504,2762986,303
3241316,12500,2762876,303
3253820,12504,2762932,302
3266324,12504,2762948,301
3278824,12500,2762845,302
3291328,12504,2763099,302
3303828,12500,2763150,301
3316328,12500,2763175,301
3328828,12500,2762803,302
3341328,12500,2762733,302
