Times (us),interval (us),strain (raw),sensorValue0 (raw)
66000,66000,2738009,397
78504,12504,2738179,395
91004,12500,2738672,393
103508,12504,2739250,392
116008,12500,2739595,392
128508,12500,2739469,391
141012,12504,2738989,390
153516,12504,2738484,389
166020,12504,2738174,389
178520,12500,2738420,389
191020,12500,2738863,387
203520,12500,2739207,386
216020,12500,2739448,387
228520,12500,2739305,386
241020,12500,2739075,384
253520,12500,2738643,384
266024,12504,2738331,384
278524,12500,2738271,384
291028,12504,2738730,382
303528,12500,2739010,381
316028,12500,2739284,382
328528,12500,2739287,381
341028,12500,2738977,379
353532,12504,2738576,379
366032,12500,2738250,379
378536,12504,2738305,379
391036,12500,2738798,377
403536,12500,2739009,377
416040,12504,2739237,377
428540,12500,2739381,377
441044,12504,2739227,375
453544,12500,2738860,374
466044,12500,2738635,375
478548,12504,2738658,374
491048,12500,2738855,373
503548,12500,2739193,372
516048,12500,2739259,373
528548,12500,2739211,372
541048,12500,2739186,371
553548,12500,2738947,370
566048,12500,2738735,371
578548,12500,2738602,370
591048,12500,2738650,369
603548,12500,2738874,368
616052,12504,2738880,369
628552,12500,2738935,368
641052,12500,2738849,367
653556,12504,2738781,366
666056,12500,2738897,367
678560,12504,2738939,366
691064,12504,2738990,365
703568,12504,2739028,364
716072,12504,2739060,365
728572,12500,2738998,364
741072,12500,2738913,362
753572,12500,2738952,362
766072,12500,2738823,363
778572,12500,2738745,362
791072,12500,2738969,361
803576,12504,2739063,360
816080,12504,2738988,361
828580,12500,2739058,360
841080,12500,2739211,359
853580,12500,2739047,358
866080,12500,2738868,359
878584,12504,2738917,358
891088,12504,2739053,357
903592,12504,2739209,356
916096,12504,2739122,357
928596,12500,2739045,356
941100,12504,2739110,355
953600,12500,2738849,354
966100,12500,2738918,355
978604,12504,2739114,355
991104,12500,2739075,353
1003608,12504,2738889,353
1016108,12500,2738753,353
1028608,12500,2738788,353
1041108,12500,2738908,351
1053608,12500,2739009,351
1066108,12500,2739033,352
1078608,12500,2738901,351
1091108,12500,2738864,350
1103608,12500,2738902,349
1116112,12504,2738945,350
1128612,12500,2738886,350
1141116,12504,2738828,348
1153616,12500,2739016,348
1166120,12504,2739090,348
1178628,12508,2739095,348
1191128,12500,2738901,346
1203628,12500,2738941,346
1216132,12504,2739160,347
