Times (us),interval (us),strain (raw),sensorValue0 (raw)
66004,66004,2739098,396
78504,12500,2738792,395
91004,12500,2738961,394
103504,12500,2739075,392
116004,12500,2738863,391
128508,12504,2738796,392
141012,12504,2738799,391
153516,12504,2739048,389
166016,12500,2739180,389
178516,12500,2738751,389
191016,12500,2738870,388
203520,12504,2738919,386
216020,12500,2738766,386
228520,12500,2738816,386
241024,12504,2738833,385
253524,12500,2738951,384
266028,12504,2739121,383
278532,12504,2738929,384
291036,12504,2738840,383
303536,12500,2738810,381
316036,12500,2738801,381
328540,12504,2738900,381
341040,12500,2738779,380
353540,12500,2738821,379
366040,12500,2738955,378
378540,12500,2739210,379
391040,12500,2738871,378
403540,12500,2738784,376
416040,12500,2738960,376
428540,12500,2739101,377
441040,12500,2738938,376
453544,12504,2738788,374
466044,12500,2739053,374
478548,12504,2739266,374
491048,12500,2738943,374
503548,12500,2738664,372
516048,12500,2738971,372
528548,12500,2738971,372
541052,12504,2738778,371
553552,12500,2738746,370
566056,12504,2738775,370
578556,12500,2738759,370
591056,12500,2738876,369
603556,12500,2738911,368
616056,12500,2738654,368
628556,12500,2738873,368
641056,12500,2739121,367
653560,12504,2739100,366
666060,12500,2738601,366
678560,12500,2738536,366
691060,12500,2738806,365
703564,12504,2739003,364
716064,12500,2738544,364
728564,12500,2738830,364
741064,12500,2739074,363
753564,12500,2738913,362
766064,12500,2738756,362
778568,12504,2738771,362
791072,12504,2738881,362
803576,12504,2738808,360
816076,12500,2741961,360
828576,12500,2893104,360
841076,12500,2984643,360
853576,12500,3059941,358
866076,12500,3119953,358
878580,12504,3163001,358
891080,12500,3185333,358
903584,12504,3184172,356
916084,12500,3158954,356
928588,12504,3112930,357
941092,12504,2983000,356
953596,12504,2908508,354
966100,12504,2829710,354
978600,12500,2752007,355
991100,12500,2698957,354
1003604,12504,2692776,353
1016104,12500,2734531,352
1028604,12500,2804337,353
1041108,12504,2879715,352
1053608,12500,3017158,351
1066108,12500,3072642,351
1078612,12504,3116400,351
1091112,12500,3144029,351
1103612,12500,3151461,349
1116116,12504,3137406,349
1128616,12500,3104109,350
1141120,12504,3055983,349
1153624,12504,2936015,348
1166124,12500,2871883,347
1178632,12508,2808798,348
1191136,12504,2756854,347
1203640,12504,2733641,346
1216140,12500,2747845,346
1228644,12504,2794016,346
1241144,12500,2856632,346
1253644,12500,2920793,344
1266144,12500,3034044,344
1278648,12504,3077799,345
1291148,12500,3108900,344
1303648,12500,3124061,343
1316148,12500,3121134,343
1328648,12500,3100198,343
1341148,12500,3064062,343
1353652,12504,3017504,341
1366156,12504,2965057,341
1378660,12504,2856468,342
1391164,12504,2808228,341
1403664,12500,2775211,340
1416168,12504,2769175,340
1428668,12500,2792310,340
1441172,12504,2837212,340
1453672,12500,2890669,338
1466172,12500,2944360,338
1478672,12500,3038296,339
1491176,12504,3072760,338
1503680,12504,3094761,337
1516184,12504,3101963,337
1528684,12500,3093316,337
1541188,12504,3070066,337
1553688,12500,3035141,336
1566192,12504,2992464,335
1578692,12500,2945349,336
1591192,12500,2854350,335
1603692,12500,2818396,334
1616192,12500,2798272,334
1628692,12500,2801165,335
1641192,12500,2826325,334
1653696,12504,2865553,333
1666196,12500,2910471,333
1678696,12500,2956097,333
1691196,12500,2998728,333
1703696,12500,3062520,331
1716196,12500,3078717,331
1728696,12500,3081730,332
1741196,12500,3071203,331
1753700,12504,3048311,330
1766200,12500,3015850,330
1778700,12500,2977244,331
1791200,12500,2935559,330
1803700,12500,2859454,329
1816200,12500,2833009,329
1828700,12500,2820662,329
1841200,12500,2826812,329
1853700,12500,2849500,328
1866204,12504,2882944,327
1878708,12504,2921549,328
1891208,12500,2961150,328
1903708,12500,2997527,326
1916212,12504,3050258,326
1928712,12500,3062390,327
1941212,12500,3063210,326
1953716,12504,3052282,325
1966220,12504,3030769,325
1978720,12500,3001727,326
1991220,12500,2967913,325
2003720,12500,2931978,324
2016224,12504,2897935,324
2028728,12504,2848995,325
2041228,12500,2841561,324
2053728,12500,2848130,323
2066232,12504,2867556,323
2078732,12500,2895875,323
2091236,12504,2928687,323
2103736,12500,2962562,322
2116236,12500,2993761,322
2128740,12504,3038055,323
2141244,12504,3047653,322
2153744,12500,3047296,321
2166244,12500,3036949,321
2178748,12504,3017926,322
2191248,12500,2992410,321
2203752,12504,2962624,320
2216252,12500,2931167,320
2228752,12500,2901984,321
2241252,12500,2862146,320
2253752,12500,2856938,319
2266252,12500,2863609,319
2278752,12500,2880862,320
2291252,12500,2905268,319
2303752,12500,2933780,318
2316256,12504,2963739,318
2328756,12500,2990859,319
2341260,12504,3012830,318
2353764,12504,3035869,317
2366264,12500,3034763,317
2378764,12500,3025127,318
2391264,12500,3007940,317
2403768,12504,2985101,316
2416268,12500,2958685,316
2428772,12504,2931155,317
2441272,12500,2906051,316
2453772,12500,2873486,315
2466276,12504,2870063,315
2478780,12504,2876693,316
2491284,12504,2891991,315
2503788,12504,2913398,314
2516288,12500,2938300,314
2528788,12500,2963964,315
2541288,12500,2987288,314
2553792,12504,3005814,313
2566292,12500,3024440,313
2578792,12500,3022765,314
2591292,12500,3013685,314
2603792,12500,2998163,312
2616292,12500,2977961,312
2628792,12500,2954776,313
2641296,12504,2931129,313
2653796,12500,2909756,311
2666296,12500,2893515,311
2678796,12500,2881999,312
2691300,12504,2888436,312
2703800,12500,2902138,310
2716300,12500,2921041,310
2728800,12500,2942824,311
2741300,12500,2965068,311
2753800,12500,2984683,310
2766300,12500,3000137,309
2778804,12504,3014729,310
2791308,12504,3012316,310
2803812,12504,3003724,309
2816312,12500,2989519,309
2828812,12500,2971410,310
2841316,12504,2951053,310
2853816,12500,2930676,308
2866320,12504,2912863,308
2878820,12500,2899464,309
2891320,12500,2891551,309
2903820,12500,2898201,308
2916320,12500,2910821,307
2928820,12500,2927740,308
2941324,12504,2946857,308
2953828,12504,2965964,307
2966328,12500,2982865,307
2978828,12500,2995865,308
2991328,12500,3004072,307
3003828,12500,3003758,306
3016328,12500,2995376,306
3028828,12500,2982398,307
3041328,12500,2965871,307
3053828,12500,2947616,305
3066328,12500,2930114,305
3078828,12500,2915045,306
3091328,12500,2904309,306
3103828,12500,2899919,305
3116328,12500,2906761,305
3128828,12500,2918663,306
3141332,12504,2934047,305
3153832,12500,2950832,304
3166336,12504,2967226,304
3178836,12500,2981478,305
3191340,12504,2992144,305
3203840,12500,2998289,303
3216344,12504,2995865,303
3228848,12504,2987503,304
3241348,12500,2975304,304
3253852,12504,2960419,303
3266356,12504,2944296,303
3278856,12500,2929033,304
3291356,12500,2916572,304
3303856,12500,2908361,302
3316360,12504,2905179,302
3328860,12500,2914575,303
3341360,12500,2925997,303
3353860,12500,2940029,302
3366360,12500,2954977,302
3378860,12500,2969106,303
3391360,12500,2980823,303
3403860,12500,2989197,301
3416360,12500,2993547,301
3428860,12500,2988549,302
3441364,12504,2980057,302
3453864,12500,2968512,301
3466368,12504,2954887,301
3478868,12500,2940846,302
3491372,12504,2928088,302
3503872,12500,2918238,300
3516372,12500,2912464,300
3528872,12500,2911084,301
3541372,12500,2921962,301
3553872,12500,2932788,300
3566372,12500,2945550,300
3578876,12504,2958781,301
3591380,12504,2970721,301
3603880,12500,2980248,299
3616380,12500,2986357,299
3628884,12504,2988801,300
3641384,12500,2987184,300
3653884,12500,2973219,299
3666388,12504,2962133,299
3678888,12500,2949751,300
3691388,12500,2937719,299
3703888,12500,2927504,298
3716388,12500,2920062,298
3728888,12500,2916391,299
3741388,12500,2916717,299
3753888,12500,2928912,298
3766392,12504,2939108,298
3778896,12504,2950695,299
3791396,12500,2962046,299
3803896,12500,2971799,297
3816396,12500,2979123,297
3828900,12504,2983311,298
3841400,12500,2984007,298
3853900,12500,2981333,297
3866400,12500,2966830,297
3878900,12500,2956329,298
3891404,12504,2945328,298
3903904,12500,2935110,296
3916408,12504,2927148,296
3928912,12504,2921894,297
3941412,12500,2919962,297
3953912,12500,2921912,296
3966416,12504,2927222,296
3978916,12500,2944747,297
3991420,12504,2955087,297
4003920,12500,2964696,295
4016420,12500,2972535,295
4028924,12504,2977854,296
4041424,12500,2980105,296
4053924,12500,2979288,295
4066428,12504,2975494,295
4078932,12504,2969122,296
4091432,12500,2951106,296
4103932,12500,2941692,295
4116436,12504,2933529,295
4128936,12500,2927516,296
4141436,12500,2924300,296
4153936,12500,2924221,294
4166436,12500,2927524,294
4178940,12504,2933380,295
4191440,12500,2950039,295
4203940,12500,2958939,294
4216444,12504,2966746,294
4228944,12500,2972701,295
4241448,12504,2976120,295
4253948,12500,2976871,294
4266448,12500,2974794,294
4278952,12504,2970131,295
4291452,12500,2963330,295
4303952,12500,2946759,294
4316452,12500,2938785,293
4328952,12500,2932321,294
4341452,12500,2928251,294
4353952,12500,2927034,293
4366456,12504,2928477,293
4378956,12500,2932511,294
4391456,12500,2938771,294
4403960,12504,2946459,293
4416460,12500,2961940,293
4428960,12500,2968168,294
4441460,12500,2972320,294
4453964,12504,2974044,293
4466464,12500,2973151,292
4478964,12500,2970086,293
4491468,12504,2964787,293
4503968,12500,2957969,292
4516472,12504,2943071,292
4528976,12504,2936582,293
4541476,12500,2932108,293
4553976,12500,2929878,292
4566476,12500,2930021,292
4578980,12504,2932649,293
4591480,12500,2937422,293
4603980,12500,2943813,292
4616484,12504,2951038,292
4628984,12500,2964009,293
4641484,12500,2968611,293
4653984,12500,2971065,292
4666484,12500,2971415,291
4678984,12500,2969437,292
4691484,12500,2965299,292
4703984,12500,2959726,291
4716484,12500,2953259,291
4728984,12500,2946515,292
4741488,12504,2935483,292
4753992,12504,2932642,291
4766492,12500,2931909,291
4778992,12500,2933490,292
4791496,12504,2937138,292
4804000,12504,2942394,291
4816504,12504,2948503,290
4829008,12504,2954949,291
4841512,12504,2965255,291
4854012,12500,2968339,290
4866516,12504,2969207,290
