Times (us),interval (us),strain (raw),sensorValue0 (raw)
65996,65996,2738562,399
78500,12504,2738429,396
91004,12504,2738375,394
103504,12500,2738320,395
116004,12500,2738304,394
128504,12500,2738288,392
141004,12500,2738270,391
153508,12504,2738346,391
166008,12500,2738349,391
178512,12504,2738289,390
191012,12500,2738414,388
203516,12504,2738494,389
216016,12500,2738502,388
228516,12500,2738535,387
241016,12500,2738477,386
253516,12500,2738446,386
266020,12504,2738385,386
278520,12500,2738354,384
291020,12500,2738591,383
303524,12504,2738560,384
316028,12504,2738464,384
328528,12500,2738424,382
341028,12500,2738433,381
353528,12500,2738414,381
366028,12500,2738482,381
378528,12500,2738561,380
391032,12504,2738431,379
403532,12500,2738187,379
416032,12500,2738163,379
428536,12504,2738119,378
441036,12500,2738286,377
453540,12504,2738529,377
466044,12504,2738622,377
478544,12500,2738596,376
491044,12500,2738407,375
503548,12504,2738166,375
516048,12500,2738250,375
528548,12500,2738402,374
541048,12500,2738614,373
553548,12500,2738523,373
566048,12500,2738558,373
578548,12500,2738487,372
591052,12504,2738552,371
603552,12500,2738342,371
616052,12500,2738250,371
628556,12504,2738380,370
641056,12500,2738466,369
653560,12504,2738575,369
666064,12504,2738536,369
678568,12504,2738558,368
691068,12500,2738462,367
703568,12500,2738412,367
716068,12500,2738400,367
728572,12504,2738614,366
741072,12500,2738538,365
753576,12504,2738422,365
766076,12500,2738393,365
778580,12504,2738395,364
791080,12500,2738329,363
803580,12500,2738170,363
816080,12500,2738226,363
828584,12504,2738888,362
841084,12500,2748365,361
853584,12500,2773473,361
866084,12500,2796700,361
878584,12500,2813982,360
891088,12504,2834899,359
903588,12500,2856543,359
916088,12500,2869530,359
928588,12500,2871136,358
941088,12500,2838544,357
953588,12500,2812908,357
966088,12500,2791856,357
978592,12504,2782401,356
991096,12504,2787205,355
1003596,12500,2803498,355
1016100,12504,2825057,356
1028600,12500,2844497,355
1041100,12500,-959232,353
1063628,22528,2837239,354
1076128,12500,2819038,352
1088628,12500,2802749,352
1101132,12504,2793349,353
1113636,12504,2793848,352
1126140,12504,2804056,351
1138644,12504,2820104,351
1151144,12500,2836451,351
1163644,12500,2848199,351
1176144,12500,2848749,349
1188648,12504,2837812,349
1201148,12500,2823052,350
1213648,12500,2808804,349
1226148,12500,2799940,348
1238648,12500,2799067,347
1251152,12504,2806140,348
1263656,12504,2818537,347
1276160,12504,2832119,346
1288660,12500,2846875,346
1301160,12500,2844558,346
1313660,12500,2836560,346
1326160,12500,2825071,344
1338660,12500,2813716,344
1351160,12500,2806240,345
1363660,12500,2804567,344
1376164,12504,2809061,343
1388668,12504,2828740,342
1401168,12500,2837526,343
1413668,12500,2842138,343
1426172,12504,2841073,341
1438676,12504,2835196,341
1451180,12504,2826427,342
1463684,12504,2817079,341
1476184,12500,2810105,340
1488684,12500,2808091,340
1501192,12508,2818082,340
1513692,12500,2826843,340
1526192,12500,2834530,338
1538692,12500,2838871,338
1551192,12500,2838673,339
1563696,12504,2834063,338
1576196,12500,2826864,337
1588696,12500,2819137,337
1601196,12500,2813099,337
1613696,12500,2813328,337
1626200,12504,2819088,336
1638704,12504,2826208,335
1651204,12500,2832483,336
1663704,12500,2836061,336
1676208,12504,2836011,334
1688708,12500,2832478,334
1701208,12500,2826615,335
1713708,12500,2820235,334
1726208,12500,2813877,333
1738712,12504,2815431,333
1751212,12500,2819723,333
1763712,12500,2825322,333
1776212,12500,2830459,332
1788716,12504,2833442,331
1801224,12508,2833601,332
1813724,12500,2830960,332
1826224,12500,2821706,330
1838724,12500,2817822,330
1851224,12500,2815965,331
1863728,12504,2816858,331
1876228,12500,2819862,329
1888728,12500,2824203,329
1901228,12500,2828647,330
1913732,12504,2831687,329
1926236,12504,2832333,328
1938736,12500,2827077,328
1951240,12504,2822869,328
1963740,12500,2819156,328
1976240,12500,2817074,327
1988740,12500,2817404,326
2001244,12504,2820125,327
2013744,12500,2824141,327
2026248,12504,2827999,326
2038748,12500,2830732,325
2051248,12500,2829901,326
2063748,12500,2826723,326
2076248,12500,2823006,324
2088752,12504,2819795,324
2101256,12504,2818183,325
2113760,12504,2818654,325
2126264,12504,2820750,323
2138764,12500,2824046,323
2151268,12504,2829538,324
2163772,12504,2830177,324
2176272,12500,2828999,322
2188772,12500,2826286,322
2201276,12504,2823153,323
2213776,12500,2820670,323
2226276,12500,2819372,321
2238776,12500,2819740,321
2251276,12500,2821654,322
2263776,12500,2826792,322
2276276,12500,2828487,320
2288780,12504,2828832,320
2301284,12504,2827884,321
2313784,12500,2825962,321
2326284,12500,2823768,320
2338784,12500,2821744,319
2351288,12504,2820677,320
2363788,12500,2820762,320
2376288,12500,2824161,319
2388788,12500,2826114,318
2401292,12504,2827654,319
2413792,12500,2828162,319
2426292,12500,2827418,318
2438796,12504,2825851,317
2451300,12504,2823716,318
2463804,12504,2821887,318
2476304,12500,2821165,317
2488808,12504,2822490,316
2501308,12500,2824447,317
2513808,12500,2826259,317
2526308,12500,2827484,316
2538808,12500,2827691,315
2551308,12500,2826934,316
2563812,12504,2825410,316
2576312,12500,2823735,315
2588812,12500,2821872,314
2601316,12504,2822156,315
2613816,12500,2823088,315
2626316,12500,2824558,314
2638820,12504,2825769,313
2651320,12500,2826725,314
2663824,12504,2826879,314
2676324,12500,2826411,313
2688824,12500,2825345,312
2701328,12504,2822510,313
2713828,12500,2822023,313
2726328,12500,2822448,312
2738828,12500,2823469,311
2751332,12504,2824646,312
2763836,12504,2825836,312
2776336,12500,2826423,311
2788836,12500,2826583,310
2801340,12504,2824877,311
2813840,12500,2823802,311
2826340,12500,2822754,310
2838840,12500,2822442,309
2851340,12500,2822915,310
2863840,12500,2823740,310
2876344,12504,2824701,309
2888844,12500,2825577,309
2901348,12504,2826239,309
2913848,12500,2825603,310
2926348,12500,2824829,308
2938848,12500,2823697,308
2951348,12500,2822892,309
2963848,12500,2822797,309
2976352,12504,2823131,308
2988856,12504,2823704,307
3001356,12500,2824688,308
3013856,12500,2825411,308
3026356,12500,2825840,307
3038856,12500,2825215,306
3051356,12500,2824612,307
3063860,12504,2823858,307
3076360,12500,2823186,306
3088860,12500,2823040,306
3101360,12500,2823158,306
3113860,12500,2823649,307
3126360,12500,2825400,306
3138860,12500,2825791,305
3151364,12504,2825707,306
3163868,12504,2825269,306
3176368,12500,2824516,305
3188872,12504,2823551,304
3201376,12504,2823075,305
3213876,12500,2823126,305
3226376,12500,2823430,304
3238880,12504,2824752,303
3251380,12500,2825414,304
3263884,12504,2825898,304
3276384,12500,2825575,303
3288884,12500,2824857,303
3301388,12504,2824255,303
3313892,12504,2823687,304
3326392,12500,2823228,303
3338892,12500,2823208,302
3351392,12500,2824370,303
3363896,12504,2824989,303
3376396,12500,2825295,302
3388896,12500,2825447,301
3401400,12504,2825408,302
3413900,12500,2824901,302
3426404,12504,2824311,301
3438904,12500,2823917,301
3451404,12500,2823624,302
3463908,12504,2823785,302
3476412,12504,2824140,301
3488916,12504,2824753,300
3501420,12504,2825312,301
3513924,12504,2825453,301
3526428,12504,2825194,300
3538932,12504,2824955,300
3551432,12500,2824519,300
3563932,12500,2823643,301
3576436,12504,2823589,300
3588936,12500,2823785,299
3601436,12500,2824245,300
3613936,12500,2824744,300
3626436,12500,2825234,299
3638936,12500,2825453,298
3651440,12504,2825314,299
3663940,12500,2824978,300
3676440,12500,2823838,299
3688940,12500,2823462,298
3701440,12500,2823456,299
3713940,12500,2823723,299
3726440,12500,2824233,298
3738944,12504,2824764,297
3751444,12500,2825333,298
3763948,12504,2825452,298
3776448,12500,2825222,298
3788948,12500,2824297,297
3801448,12500,2823743,298
3813948,12500,2823470,298
3826448,12500,2823598,297
3838948,12500,2823998,296
3851448,12500,2824488,297
3863948,12500,2825008,298
3876452,12504,2825243,297
3888956,12504,2824945,296
3901460,12504,2824436,297
3913960,12500,2824120,297
3926460,12500,2823792,296
3938960,12500,2823658,295
3951460,12500,2823857,296
3963960,12500,2824129,297
3976460,12500,2824417,296
3988964,12504,2824773,295
4001464,12500,2824864,296
4013964,12500,2824804,296
4026464,12500,2824558,295
4038964,12500,2824334,295
4051464,12500,2824061,295
4063964,12500,2823818,296
4076464,12500,2823793,295
4088964,12500,2824035,294
4101468,12504,2824351,295
