Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,440,385,353
8,439,420,395
12,439,430,414
16,439,432,422
20,438,434,428
24,438,436,431
28,438,434,430
32,439,433,428
36,439,434,430
40,438,436,431
44,438,435,431
48,438,433,429
52,438,434,429
56,439,436,431
60,439,435,431
64,439,433,429
68,438,433,429
72,439,436,431
76,439,435,431
80,439,433,429
84,439,434,429
88,439,435,431
92,439,436,432
96,439,434,430
100,439,433,429
104,439,435,431
108,439,436,432
112,439,435,431
116,439,434,429
120,439,436,431
124,440,437,433
128,440,436,432
132,440,434,430
136,440,435,431
140,439,437,433
144,440,436,432
148,439,434,430
152,439,435,430
156,440,437,432
160,440,436,432
164,439,434,430
168,439,434,430
172,439,436,432
176,439,436,432
180,439,434,430
184,439,434,429
188,439,436,431
192,439,436,432
196,439,434,430
200,439,433,429
204,439,435,431
208,439,436,432
212,439,434,430
216,439,433,429
220,438,434,430
224,439,436,432
228,439,434,430
232,439,433,429
236,439,434,430
240,438,435,431
244,438,434,430
248,438,433,428
252,439,434,430
256,439,436,431
260,439,435,431
264,439,433,429
268,438,433,429
272,438,435,431
276,438,435,431
280,439,433,429
284,439,434,429
288,439,436,431
292,439,436,432
296,439,434,430
300,439,434,429
304,440,436,431
308,440,437,433
312,439,435,431
316,439,434,429
320,439,435,431
324,439,436,432
328,439,435,431
332,439,434,429
336,440,435,431
340,439,437,432
344,439,435,431
348,439,434,429
352,440,435,430
356,440,437,432
360,440,436,432
364,439,434,430
368,439,434,430
372,439,436,432
376,439,436,432
380,440,434,430
384,440,434,430
388,439,436,432
392,439,436,432
396,439,434,430
400,439,434,429
404,439,435,431
408,439,436,432
412,439,434,430
416,438,433,429
420,438,435,430
424,439,436,432
428,439,435,431
432,439,433,429
436,439,434,430
440,438,436,432
444,439,434,430
448,438,433,429
452,439,434,430
456,439,436,432
460,439,435,431
464,438,433,429
468,438,434,429
472,439,435,431
476,439,436,431
480,439,434,430
484,439,434,429
488,439,435,431
492,439,436,432
496,439,434,430
500,439,434,429
504,439,436,431
508,439,436,432
512,439,434,430
516,439,433,429
520,439,435,431
524,439,437,432
528,440,435,431
532,439,434,430
536,439,435,431
540,439,437,432
544,439,435,431
548,439,434,430
552,440,435,431
556,440,437,432
560,440,436,432
564,440,434,430
568,439,434,430
572,440,436,432
576,440,436,432
580,439,434,430
584,439,434,430
588,439,436,432
592,439,436,432
596,439,434,430
600,439,434,429
604,439,435,431
608,439,436,432
612,439,434,430
616,439,433,429
620,439,435,430
624,439,436,432
628,439,434,430
632,439,433,429
636,439,435,430
640,438,436,431
644,438,435,431
648,439,433,429
652,439,434,430
656,439,436,432
660,439,435,431
664,438,433,429
668,439,434,429
672,439,436,431
676,439,435,431
680,439,433,429
684,439,434,429
688,439,435,431
692,439,436,432
696,439,434,430
700,439,433,429
704,439,436,431
708,439,436,432
712,439,434,430
716,439,433,429
720,439,435,431
724,439,436,432
728,439,435,431
732,439,434,429
736,439,435,431
740,439,436,432
744,439,435,431
748,439,434,429
752,439,435,430
756,439,437,432
760,439,435,431
764,439,433,429
768,439,434,430
772,440,436,432
776,440,436,432
780,439,434,430
784,439,434,430
788,439,436,432
792,439,436,432
796,439,434,430
800,440,434,430
804,440,436,432
808,439,436,432
812,439,434,430
816,439,433,429
820,439,435,430
824,440,436,432
828,440,435,431
832,439,433,429
836,438,434,430
840,438,436,431
844,439,434,430
848,439,434,429
852,439,435,431
856,439,436,432
860,438,435,431
864,438,433,429
868,439,434,429
872,439,436,431
876,439,435,431
880,439,433,429
884,438,433,429
888,438,435,431
892,439,435,431
896,439,434,430
900,439,434,429
904,439,436,431
908,439,436,432
912,439,434,430
916,439,433,429
920,439,435,431
924,439,436,432
928,439,434,430
932,439,433,429
936,439,435,431
940,439,436,432
944,439,435,431
948,439,433,429
952,439,434,430
956,439,436,432
960,439,435,431
964,440,434,429
968,439,435,430
972,439,436,432
976,439,435,431
980,439,434,429
984,439,434,430
988,439,436,432
992,440,436,432
996,439,434,430
1000,439,434,429
1004,439,436,431
1008,439,436,432
1012,439,434,430
1016,439,434,429
1020,439,435,431
1024,439,436,432
1028,439,435,431
1032,432,430,427
1036,427,427,424
1040,452,442,434
1044,449,443,437
1048,443,439,435
1052,439,436,433
1056,429,430,429
1060,435,430,427
1064,434,428,424
1068,439,433,427
1072,443,438,432
1076,441,438,433
1080,441,435,431
1084,438,434,430
1088,437,435,431
1092,438,435,431
1096,437,432,428
1100,437,432,427
1104,434,431,428
1108,434,431,427
1112,433,428,425
1116,433,427,423
1120,435,431,426
1124,436,433,428
1128,441,435,429
1132,445,438,432
1136,451,445,438
1140,454,450,443
1144,455,450,444
1148,452,447,443
1152,453,448,444
1156,453,450,446
1160,453,449,445
1164,453,447,443
1168,453,448,443
1172,450,448,444
1176,445,443,441
1180,436,434,433
1184,424,424,424
1188,417,418,418
1192,421,417,415
1196,421,416,412
1200,422,416,412
1204,423,419,415
1208,429,424,418
1212,433,426,420
1216,435,429,423
1220,438,433,427
1224,439,436,430
1228,442,437,431
1232,447,440,434
1236,451,445,439
1240,450,447,442
1244,451,447,442
1248,451,446,441
1252,449,445,441
1256,445,443,440
1260,439,437,435
1264,433,430,428
1268,430,427,425
1272,429,427,424
1276,428,424,421
1280,427,422,419
1284,428,423,418
1288,429,426,421
1292,431,427,422
1296,431,426,421
1300,430,425,421
1304,429,426,422
1308,433,429,424
1312,439,432,426
1316,446,438,431
1320,448,443,436
1324,446,443,438
1328,442,439,435
1332,437,433,431
1336,435,432,429
1340,433,431,428
1344,433,429,425
1348,433,428,424
1352,435,430,425
1356,437,434,429
1360,441,436,430
1364,443,436,431
1368,443,438,433
1372,442,439,435
1376,438,436,433
1380,435,431,428
1384,435,430,427
1388,437,433,429
1392,440,435,431
1396,443,436,431
1400,445,438,433
1404,446,442,437
1408,445,442,438
1412,443,438,435
1416,440,435,432
1420,440,436,432
1424,440,437,433
1428,440,435,431
1432,439,434,430
1436,439,435,431
1440,441,437,433
1444,440,436,432
1448,437,433,429
1452,433,431,428
1456,428,427,425
1460,425,423,421
1464,425,420,417
1468,428,423,418
1472,431,427,422
1476,433,428,423
1480,435,429,423
1484,437,431,426
1488,438,435,430
1492,438,435,430
1496,438,433,429
1500,438,433,428
1504,440,436,431
1508,444,439,434
1512,446,440,435
1516,447,441,436
1520,446,442,438
1524,444,441,438
1528,442,438,434
1532,441,436,432
1536,440,437,433
1540,437,435,432
1544,434,431,428
1548,432,428,425
1552,432,428,424
1556,433,430,426
1560,434,430,425
1564,435,429,424
1568,438,432,427
1572,440,436,431
1576,442,437,432
1580,443,437,432
1584,446,440,434
1588,448,444,438
1592,452,447,441
1596,453,447,442
1600,453,447,442
1604,453,450,445
1608,453,450,446
1612,445,442,440
1616,433,432,431
1620,422,423,424
1624,430,425,422
1628,434,428,423
1632,420,418,416
1636,402,404,406
1640,350,365,376
1644,365,370,370
1648,371,372,368
1652,379,374,370
1656,422,406,392
1660,427,408,399
1664,395,398,395
1668,489,454,432
1672,460,460,448
1676,496,480,466
1680,485,481,472
1684,476,474,470
1688,494,488,480
1692,480,479,476
1696,473,472,470
1700,457,456,458
1704,450,452,452
1708,427,429,434
1712,389,400,408
1716,411,401,401
1720,406,404,401
1724,398,397,396
1728,409,402,397
1732,414,405,399
1736,430,420,410
1740,439,431,422
1744,450,440,431
1748,454,445,437
1752,445,444,439
1756,458,451,445
1760,454,451,446
1764,462,453,447
1768,450,449,446
1772,446,445,443
1776,431,433,433
1780,399,406,412
1784,419,411,409
1788,414,412,409
1792,428,421,414
1796,428,422,416
1800,436,428,421
1804,437,433,426
1808,443,438,431
1812,449,442,435
1816,448,442,437
1820,447,443,439
1824,438,438,436
1828,450,442,437
1832,443,439,435
1836,441,439,435
1840,439,437,434
1844,435,433,430
1848,432,427,425
1852,422,421,420
1856,423,421,418
1860,425,420,416
1864,431,424,418
1868,436,430,423
1872,439,434,428
1876,444,437,431
1880,447,440,434
1884,452,445,438
1888,452,448,443
1892,448,446,442
1896,447,442,438
1900,444,440,437
1904,443,441,437
1908,438,437,434
1912,434,431,429
1916,425,423,422
1920,420,419,418
1924,428,423,419
1928,427,422,418
1932,432,425,419
1936,435,430,424
1940,437,433,428
1944,441,435,429
1948,443,436,431
1952,446,441,435
1956,445,442,437
1960,444,440,436
1964,442,438,434
1968,445,440,435
1972,442,440,436
1976,439,437,434
1980,434,431,428
1984,432,428,425
1988,429,427,425
1992,432,427,424
1996,435,428,423
2000,436,430,425
2004,439,435,429
