Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,441,398,372
8,441,424,403
12,440,433,420
16,440,436,428
20,441,436,430
24,440,436,431
28,440,437,432
32,440,437,433
36,441,436,432
40,440,436,432
44,440,436,432
48,440,437,433
52,440,436,432
56,440,435,431
60,440,436,432
64,440,436,432
68,440,436,432
72,440,436,431
76,440,436,432
80,440,436,432
84,440,436,432
88,440,435,431
92,440,435,431
96,440,436,432
100,440,436,432
104,440,435,431
108,440,435,431
112,440,436,432
116,440,436,432
120,440,435,431
124,440,435,431
128,440,436,432
132,440,436,432
136,440,435,431
140,440,435,431
144,439,436,431
148,440,436,432
152,440,436,431
156,440,435,431
160,440,436,432
164,440,436,432
168,440,436,432
172,440,436,431
176,440,436,432
180,440,436,432
184,440,436,432
188,440,435,431
192,440,436,432
196,440,436,432
200,440,436,432
204,440,435,431
208,440,435,431
212,440,436,432
216,440,436,432
220,440,435,431
224,440,435,431
228,440,436,432
232,440,436,432
236,440,435,431
240,440,435,431
244,440,436,432
248,440,436,432
252,440,436,432
256,440,436,431
260,440,436,432
264,440,436,432
268,440,436,432
272,440,436,432
276,440,436,432
280,440,436,432
284,440,436,432
288,440,435,431
292,440,435,431
296,440,436,432
300,440,436,432
304,440,435,431
308,440,435,431
312,440,436,432
316,440,436,432
320,440,436,431
324,440,436,431
328,440,436,432
332,440,436,432
336,440,435,431
340,440,435,431
344,440,436,432
348,440,437,432
352,440,436,432
356,440,435,431
360,440,436,432
364,440,437,432
368,440,436,432
372,440,436,431
376,440,436,432
380,440,436,432
384,440,436,432
388,440,435,431
392,440,436,431
396,440,436,432
400,440,436,432
404,440,436,431
408,439,435,431
412,440,436,432
416,440,436,432
420,440,435,431
424,440,436,431
428,440,436,432
432,440,436,432
436,440,435,431
440,440,436,431
444,440,436,432
448,440,436,432
452,440,436,432
456,440,436,431
460,440,436,432
464,440,437,433
468,440,436,432
472,440,436,432
476,440,436,432
480,440,437,432
484,440,436,432
488,440,436,431
492,440,436,432
496,440,436,432
500,440,436,432
504,440,436,431
508,440,436,432
512,440,436,432
516,440,436,432
520,439,435,431
524,440,435,431
528,440,436,432
532,440,436,432
536,439,435,431
540,440,435,431
544,440,436,432
548,440,436,432
552,440,436,431
556,440,435,431
560,440,436,431
564,440,436,432
568,440,436,432
572,440,435,431
576,440,436,431
580,440,436,432
584,440,436,432
588,440,435,431
592,440,436,432
596,440,436,432
600,440,436,432
604,440,436,431
608,440,436,432
612,440,436,432
616,440,436,432
620,440,436,431
624,440,436,431
628,440,436,432
632,440,436,432
636,440,435,431
640,440,436,431
644,440,436,432
648,440,437,433
652,440,436,432
656,440,436,431
660,440,436,432
664,440,437,432
668,440,436,432
672,440,435,431
676,440,436,432
680,440,437,432
684,440,436,432
688,440,435,431
692,440,436,432
696,440,437,432
700,440,436,432
704,440,436,432
708,440,436,432
712,440,436,432
716,440,436,432
720,440,435,431
724,440,435,431
728,440,436,432
732,440,436,432
736,440,435,431
740,440,435,431
744,440,436,432
748,440,436,432
752,440,435,431
756,440,435,431
760,440,436,431
764,439,436,432
768,440,436,432
772,440,435,431
776,439,435,431
780,440,436,432
784,440,436,432
788,440,435,431
792,440,436,431
796,440,436,432
800,440,436,432
804,440,435,431
808,440,436,431
812,440,436,432
816,440,436,432
820,440,436,432
824,440,436,431
828,440,436,432
832,440,436,432
836,440,436,432
840,440,436,432
844,440,436,432
848,440,437,432
852,440,436,432
856,440,436,432
860,440,436,432
864,440,437,433
868,440,436,432
872,440,436,431
876,440,436,432
