Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,463,465,465
1520,446,449,447
1524,443,440,440
1528,423,430,435
1532,412,414,418
1536,409,405,403
1540,401,399,397
1544,375,384,389
1548,405,395,391
1552,413,403,395
1556,433,418,407
1560,438,431,422
1564,459,448,437
1568,475,463,450
1572,493,480,464
1576,504,494,483
1580,498,495,491
1584,493,487,483
1588,471,470,468
1592,432,442,451
1596,430,432,437
1600,386,397,407
1604,387,386,390
1608,378,379,381
1612,400,391,386
1616,386,385,382
1620,396,388,382
1624,396,390,385
1628,411,405,397
1632,423,415,407
1636,450,433,418
1640,465,452,435
1644,478,470,459
1648,480,475,467
1652,480,468,459
1656,480,474,464
1660,471,471,470
1664,456,458,460
1668,436,437,441
1672,433,431,431
1676,414,418,421
1680,415,416,416
1684,405,405,405
1688,423,413,407
1692,408,405,403
1696,417,412,408
1700,411,408,404
1704,438,423,412
1708,441,432,423
1712,454,448,439
1716,460,452,444
1720,467,457,447
1724,460,456,450
1728,461,459,456
1732,454,452,450
1736,447,443,441
1740,438,436,435
1744,429,430,431
1748,427,425,425
1752,420,417,415
1756,424,418,414
1760,420,418,415
1764,419,417,414
1768,426,418,412
1772,429,422,415
1776,435,429,423
1780,446,440,433
1784,451,443,434
1788,463,452,441
1792,462,457,450
1796,460,458,455
1800,458,454,450
1804,455,448,442
1808,446,444,442
1812,436,438,440
1816,424,424,426
1820,421,417,415
1824,413,412,411
1828,419,416,414
1832,417,414,410
1836,422,414,409
1840,424,418,412
1844,428,425,420
1848,436,430,424
1852,443,434,426
1856,450,442,433
1860,459,452,445
1864,462,457,451
1868,459,453,446
1872,456,451,445
1876,451,450,448
1880,448,447,446
1884,439,437,435
1888,432,428,426
1892,427,426,425
1896,423,423,423
1900,421,418,416
1904,423,417,412
1908,431,424,418
1912,433,429,425
1916,434,428,423
1920,436,429,422
1924,441,434,427
1928,447,443,438
1932,450,445,440
1936,451,443,435
1940,450,445,438
1944,446,445,443
1948,445,442,440
1952,442,436,431
1956,437,434,430
1960,432,432,432
1964,429,428,427
1968,427,423,420
1972,427,421,417
1976,432,428,423
1980,436,432,427
1984,438,432,426
