Times (us),interval (us),strain (raw),sensorValue0 (raw)
66272,66272,2762183,520
78772,12500,2762623,520
91272,12500,2762690,520
103772,12500,2762804,519
116272,12500,2763322,520
128776,12504,2763471,520
141276,12500,2763438,519
153780,12504,2763571,519
166284,12504,2764063,519
178784,12500,2764356,519
191284,12500,2764525,519
203784,12500,2764693,519
216284,12500,2765023,519
228788,12504,2765275,519
241288,12500,2765076,520
253788,12500,2765078,519
266292,12504,2765292,519
278792,12500,2765401,519
291296,12504,2764669,520
303796,12500,2764975,519
316296,12500,2765346,520
328796,12500,2765277,519
341296,12500,2764970,520
353796,12500,2764904,519
366296,12500,2765069,520
378796,12500,2764873,520
391296,12500,2764777,520
403796,12500,2764971,520
416296,12500,2764929,520
428796,12500,2764915,520
441300,12504,2764952,520
453800,12500,2764838,520
466300,12500,2764707,520
478800,12500,2764752,520
491300,12500,2764889,520
503800,12500,2764854,520
516304,12504,2763904,520
528804,12500,2762484,520
541308,12504,2761755,520
553808,12500,2761632,521
566308,12500,2761720,521
578812,12504,2761838,521
591312,12500,2761769,520
603812,12500,2762311,520
616316,12504,2763300,521
628816,12500,2763635,521
641316,12500,2763639,521
653816,12500,2763547,521
666316,12500,2763619,521
678820,12504,2763641,521
691320,12500,2763401,521
703824,12504,2763419,521
716324,12500,2763583,521
728824,12500,2763344,521
741328,12504,2763458,521
753828,12500,2763719,521
766328,12500,2763615,521
778832,12504,2763336,521
791332,12500,2763075,521
803832,12500,2763155,521
816332,12500,2763570,521
828832,12500,2763539,521
841332,12500,2763124,521
853832,12500,2763110,521
866336,12504,2763298,521
878840,12504,2763365,521
891340,12500,2763190,521
903840,12500,2763074,521
916344,12504,2763256,521
928844,12500,2763467,521
941344,12500,2763294,521
953848,12504,2763072,521
966348,12500,2763050,521
978848,12500,2763201,521
991352,12504,2762951,521
1003852,12500,2762949,521
1016352,12500,2763205,521
1028856,12504,2763300,521
1041360,12504,2763211,521
1053864,12504,2763169,521
1066368,12504,2763205,521
1078868,12500,2763111,521
1091368,12500,2763063,521
1103868,12500,2762934,521
1116368,12500,2762877,521
1128872,12504,2763037,521
1141376,12504,2763103,521
1153876,12500,2763248,521
1166376,12500,2763421,521
1178880,12504,2763060,521
1191384,12504,2763299,521
1203884,12500,2763220,521
1216388,12504,2763242,521
1228888,12500,2763163,521
1241388,12500,2762997,521
1253888,12500,2763072,521
1266388,12500,2763129,521
1278888,12500,2763015,521
1291388,12500,2762903,521
1303888,12500,2763319,521
1316388,12500,2763336,521
1328892,12504,2763198,521
1341392,12500,2762937,521
1353892,12500,2762947,521
1366392,12500,2763079,521
1378892,12500,2763162,521
1391392,12500,2762941,521
1403896,12504,2762781,521
1416396,12500,2763189,521
1428896,12500,2763336,522
1441396,12500,2762868,521
1453896,12500,2762600,521
1466396,12500,2763059,521
1478900,12504,2763519,521
1491400,12500,2763149,521
1503900,12500,2762674,522
1516404,12504,2762683,521
1528904,12500,2763291,521
1541404,12500,2762789,521
1553904,12500,2762710,521
1566408,12504,2763162,521
1578908,12500,2763299,521
1591408,12500,2762947,521
1603908,12500,2762740,521
1616412,12504,2762945,521
1628912,12500,2763212,521
1641416,12504,2763055,521
1653916,12500,2762913,521
1666420,12504,2763021,521
1678924,12504,2763189,521
1691428,12504,2763185,521
1703928,12500,2763045,521
1716432,12504,2762868,521
1728932,12500,2762838,521
1741432,12500,2763054,521
1753932,12500,2763275,521
1766432,12500,2762834,521
1778932,12500,2762821,521
1791436,12504,2762983,521
1803936,12500,2763113,521
1816440,12504,2763055,521
1828940,12500,2762836,522
1841440,12500,2762874,521
1853940,12500,2762958,521
1866444,12504,2762731,521
1878944,12500,2762737,521
1891444,12500,2763019,522
1903944,12500,2763229,521
1916444,12500,2762933,521
1928944,12500,2762600,521
1941448,12504,2762543,521
1953948,12500,2762875,522
1966452,12504,2763027,522
1978952,12500,2762691,522
1991452,12500,2762876,522
2003952,12500,2762997,522
2016452,12500,2762943,522
2028952,12500,2762574,522
2041452,12500,2762510,522
2053956,12504,2762772,522
2066460,12504,2763052,521
2078960,12500,2762952,522
2091460,12500,2762748,522
2103960,12500,2762819,522
2116464,12504,2762864,521
2128964,12500,2762594,521
2141464,12500,2762561,521
2153964,12500,2762758,521
2166464,12500,2763103,521
2178968,12504,2763192,521
2191468,12500,2763033,521
2203968,12500,2763051,521
2216468,12500,2763431,521
2228968,12500,2763391,522
2241472,12504,2763090,522
2253972,12500,2762938,521
2266472,12500,2763278,522
2278976,12504,2763486,522
2291476,12500,2763148,521
2303976,12500,2762764,521
2316476,12500,2763347,521
2328976,12500,2763746,521
2341476,12500,2763330,521
2353976,12500,2762720,522
2366476,12500,2763032,521
2378976,12500,2763549,521
2391476,12500,2763649,521
2403976,12500,2763111,521
2416476,12500,2762790,521
2428976,12500,2763576,521
2441476,12500,2763565,521
2453976,12500,2763109,521
2466480,12504,2762937,521
2478984,12504,2763197,521
2491484,12500,2763519,521
2503984,12500,2763237,521
2516484,12500,2762845,521
2528984,12500,2763295,521
2541484,12500,2763532,522
2553988,12504,2763250,522
2566488,12500,2762822,522
2578988,12500,2762831,522
2591492,12504,2763270,522
2603992,12500,2763484,522
2616492,12500,2763063,522
2628996,12504,2762693,522
2641496,12500,2763431,522
2653996,12500,2763109,522
2666504,12508,2762792,522
2679004,12500,2762831,522
2691504,12500,2763009,522
2704004,12500,2763208,522
2716504,12500,2762987,522
2729004,12500,2762739,522
2741504,12500,2762790,521
2754004,12500,2754353,521
2766504,12500,2755336,521
2779004,12500,2762039,521
2791508,12504,2757427,521
2804008,12500,2746504,521
2816508,12500,2741302,521
2829008,12500,2745873,521
2841508,12500,2754138,521
2854008,12500,2757258,522
2866508,12500,2745828,521
2879008,12500,2744370,522
2891508,12500,2749455,522
2904008,12500,2754954,522
2916508,12500,2755025,522
2929008,12500,2749683,522
2941508,12500,2745152,522
2954012,12504,2746087,522
2966512,12500,2751090,522
2979012,12500,2752953,523
2991516,12504,2747865,524
3004016,12500,2745276,527
3016516,12500,2747453,525
3029016,12500,2752134,527
3041520,12504,2753853,527
3054024,12504,2750918,527
3066524,12500,2746897,527
3079028,12504,2745955,527
3091528,12500,2752469,527
3104028,12500,2752565,525
3116528,12500,2749442,528
3129032,12504,2746737,528
3141532,12500,2747014,527
3154032,12500,2750079,528
3166536,12504,2752537,528
3179036,12500,2751370,528
3191536,12500,2748232,527
3204040,12504,2747989,528
3216540,12500,2751126,528
3229040,12500,2752221,523
3241540,12500,2750283,523
3254040,12500,2747638,523
3266540,12500,2747075,523
3279040,12500,2749042,524
3291540,12500,2751385,528
3304044,12504,2751650,528
3316544,12500,2747082,528
3329044,12500,2746640,528
3341548,12504,2747573,528
3354048,12500,2748809,528
3366548,12500,2748023,528
3379048,12500,2746045,528
3391548,12500,2744840,528
3404052,12504,2745608,528
3416552,12500,2747701,528
3429052,12500,2747526,528
3441552,12500,2745700,524
3454052,12500,2745078,528
3466556,12504,2746193,528
3479060,12504,2747598,528
3491560,12500,2747747,527
3504060,12500,2746431,526
3516560,12500,2745121,528
3529060,12500,2745280,523
3541560,12500,2747621,523
3554060,12500,2747423,524
3566560,12500,2746130,523
3579060,12500,2745468,528
3591560,12500,2745929,528
3604060,12500,2747032,528
3616564,12504,2747518,528
3629064,12500,2746850,528
3641564,12500,2745765,527
3654064,12500,2745852,527
3666564,12500,2746705,523
3679064,12500,2746897,523
3691568,12504,2746144,527
3704072,12504,2745007,527
3716572,12500,2744652,526
3729076,12504,2743280,528
3741576,12500,2741712,528
3754076,12500,2741237,528
3766580,12504,2739672,527
3779084,12504,2739901,527
3791584,12500,2740547,527
3804084,12500,2740896,527
3816584,12500,2740483,527
3829084,12500,2739912,527
3841584,12500,2739634,522
3854084,12500,2739784,522
3866584,12500,2740342,522
3879084,12500,2740383,522
3891588,12504,2739887,522
3904088,12500,2739737,523
3916592,12504,2740140,523
3929096,12504,2740509,526
3941596,12500,2740462,525
3954096,12500,2739937,524
3966596,12500,2739662,528
3979100,12504,2739796,528
3991600,12500,2740099,527
4004100,12500,2739989,527
4016600,12500,2739680,527
4029100,12500,2739522,527
4041600,12500,2739548,526
4054100,12500,2739970,527
4066600,12500,2740193,522
4079100,12500,2739776,523
4091604,12504,2739501,523
4104104,12500,2739884,527
4116604,12500,2739922,526
4129104,12500,2739721,527
4141608,12504,2739535,527
4154112,12504,2739430,527
4166612,12500,2739575,527
4179112,12500,2739783,527
4191612,12500,2739796,526
4204116,12504,2739596,527
4216620,12504,2739404,527
4229128,12508,2739489,527
4241628,12500,2739379,527
4254132,12504,2739465,526
4266632,12500,2739450,525
4279132,12500,2739244,527
4291636,12504,2739097,526
4304140,12504,2739162,526
4316640,12500,2739471,525
4329144,12504,2739256,525
4341644,12500,2739197,523
4354144,12500,2739466,526
4366644,12500,2739495,527
4379144,12500,2739278,527
4391644,12500,2739142,526
4404144,12500,2738946,526
4416648,12504,2738869,526
4429148,12500,2739127,527
4441652,12504,2739115,521
4454152,12500,2738752,521
4466656,12504,2738784,521
4479160,12504,2739201,521
4491660,12500,2739412,520
4504164,12504,2739186,520
4516664,12500,2738809,520
4529164,12500,2738526,520
4541668,12504,2738567,520
4554168,12500,2739034,520
4566668,12500,2738801,520
4579168,12500,2738446,520
4591668,12500,2738259,520
4604168,12500,2738432,520
4616672,12504,2738540,519
4629176,12504,2738528,519
4641676,12500,2738441,519
4654176,12500,2738354,519
4666676,12500,2738176,520
4679176,12500,2738121,520
4691680,12504,2738360,520
4704180,12500,2738274,520
4716680,12500,2737730,520
4729184,12504,2737745,520
4741684,12500,2738194,521
4754184,12500,2738411,525
4766688,12504,2738370,525
4779188,12500,2737449,525
4791688,12500,2737772,525
4804188,12500,2738013,524
4816688,12500,2737924,524
4829192,12504,2737609,525
4841692,12500,2737440,525
4854196,12504,2737368,525
4866700,12504,2737483,525
4879200,12500,2737523,525
4891704,12504,2737480,524
4904204,12500,2737224,527
4916704,12500,2736946,526
4929208,12504,2737048,526
4941708,12500,2737405,526
4954212,12504,2737601,526
4966712,12500,2737523,526
4979212,12500,2739782,526
4991712,12500,2741464,524
5004216,12504,2741160,526
5016716,12500,2740672,526
5029216,12500,2740068,527
5041716,12500,2739707,527
5054216,12500,2739692,526
5066716,12500,2739940,526
5079220,12504,2740079,526
5091724,12504,2739766,526
5104228,12504,2739499,526
5116728,12500,2739493,526
5129228,12500,2739704,521
5141728,12500,2739942,520
5154228,12500,2739595,519
5166732,12504,2739092,519
5179232,12500,2739032,519
5191732,12500,2739434,519
5204232,12500,2739728,520
5216732,12500,2739734,525
5229232,12500,2739020,525
5241736,12504,2738964,526
5254236,12500,2739073,526
5266736,12500,2739155,526
5279236,12500,2739168,526
5291736,12500,2738916,525
5304236,12500,2738720,522
5316736,12500,2739105,520
5329240,12504,2739369,519
5341740,12500,2738786,519
5354240,12500,2738459,519
5366740,12500,2738712,519
5379240,12500,2739042,518
5391740,12500,2739094,518
5404244,12504,2738875,517
5416748,12504,2738609,517
5429256,12508,2738616,517
5441756,12500,2738967,517
5454260,12504,2739068,517
5466760,12500,2738623,515
5479264,12504,2738601,516
5491768,12504,2739007,505
5504272,12504,2739202,505
5516772,12500,2739353,505
5529272,12500,2739256,511
5541772,12500,2739054,512
5554272,12500,2739046,512
5566776,12504,2739036,512
5579276,12500,2738978,512
5591776,12500,2738838,512
5604276,12500,2738588,513
5616776,12500,2738480,513
5629280,12504,2738767,514
5641784,12504,2738988,514
5654284,12500,2738866,515
5666784,12500,2738241,515
5679284,12500,2738654,516
5691788,12504,2738984,516
5704288,12500,2738901,517
5716792,12504,2738605,521
5729292,12500,2738351,521
5741796,12504,2738212,521
5754296,12500,2738172,521
5766796,12500,2738327,522
5779296,12500,2738377,521
