Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,440,384,382
8,440,415,399
12,440,427,413
16,440,435,427
20,440,438,433
24,440,434,429
28,440,433,426
32,440,437,433
36,440,438,436
40,440,434,430
44,440,433,427
48,440,435,431
52,440,438,436
56,440,436,432
60,440,432,426
64,440,435,430
68,440,438,436
72,440,436,433
76,440,432,426
80,440,434,429
84,440,438,436
88,440,437,434
92,439,433,427
96,440,433,427
100,439,437,434
104,440,437,435
108,440,433,428
112,440,433,427
116,440,437,434
120,440,438,435
124,440,434,428
128,440,433,427
132,440,436,432
136,440,438,436
140,439,435,431
144,440,432,425
148,440,435,431
152,440,438,436
156,440,435,431
160,440,432,425
164,440,435,430
168,440,438,436
172,440,436,433
176,440,432,426
180,440,434,428
184,440,438,435
188,440,437,434
192,440,433,427
196,440,434,428
200,439,438,435
204,440,437,435
208,440,433,427
212,440,433,427
216,440,437,433
220,439,438,436
224,439,434,429
228,440,432,426
232,439,436,432
236,439,438,436
240,440,434,430
244,440,432,426
248,440,436,432
252,440,438,436
256,439,436,432
260,440,432,426
264,440,435,429
268,440,438,436
272,439,436,433
276,440,432,426
280,440,434,429
284,440,438,436
288,440,437,433
292,440,433,427
296,440,434,429
300,440,437,434
304,440,438,435
308,440,434,428
312,440,433,427
316,440,437,434
320,440,438,436
324,440,434,429
328,440,433,427
332,440,437,433
336,440,438,436
340,440,434,429
344,440,433,426
348,440,436,431
352,440,438,437
356,440,435,432
360,440,432,426
364,440,435,430
368,439,438,436
372,440,435,432
376,440,432,426
380,440,435,430
384,440,438,435
388,440,437,435
392,440,433,427
396,440,433,427
400,439,437,435
404,440,437,435
408,440,433,427
412,440,433,427
416,440,437,434
420,439,437,435
424,439,433,428
428,440,433,426
432,440,437,433
436,440,438,437
440,440,435,431
444,440,433,426
448,440,436,432
452,440,438,437
456,440,435,431
460,440,432,426
464,440,436,431
468,440,439,437
472,440,436,433
476,440,432,426
480,439,434,428
484,439,438,436
488,440,437,434
