Times (us),interval (us),strain (raw),sensorValue0 (raw)
66000,66000,2738219,397
78500,12500,2738302,394
91000,12500,2738465,394
103500,12500,2738244,394
116000,12500,2738095,392
128500,12500,2738262,391
141000,12500,2738412,391
153500,12500,2738093,391
166004,12504,2737832,390
178504,12500,2738638,388
191004,12500,2738455,388
203504,12500,2738064,388
216008,12504,2737992,387
228508,12500,2738303,386
241008,12500,2738302,386
253508,12500,2737892,386
266012,12504,2737607,385
278512,12500,2738093,383
291016,12504,2738461,383
303516,12500,2738199,384
316016,12500,2738311,382
328516,12500,2738305,381
341016,12500,2737971,381
353516,12500,2737975,381
366020,12504,2738352,380
378524,12504,2738564,379
391024,12500,2738198,379
403524,12500,2738479,379
416024,12500,2738596,378
428524,12500,2738217,376
441024,12500,2737979,376
453524,12500,2738280,377
466024,12500,2738578,376
478528,12504,2738767,374
491028,12500,2738512,374
503532,12504,2738571,375
516032,12500,2738588,374
528536,12504,2738922,372
541040,12504,2744746,372
553544,12504,2755411,373
566044,12500,2764673,372
578544,12500,2771914,370
591048,12504,2778609,370
603548,12500,2785294,371
616052,12504,2798244,370
628552,12500,2806275,368
641056,12504,2819281,368
653556,12500,2831068,369
666056,12500,2839319,368
678560,12504,2844448,366
691060,12500,2849206,366
703560,12500,2852590,367
716064,12504,2842596,366
728564,12500,2828095,364
741064,12500,2810047,364
753564,12500,2794093,365
766068,12504,2788474,364
778572,12504,2795352,362
791076,12504,2811210,362
803576,12500,2830331,363
816076,12500,2846717,362
828576,12500,2856434,361
841076,12500,2848689,361
853576,12500,2834674,361
866076,12500,2818323,360
878576,12500,2804457,359
891076,12500,2797576,359
903576,12500,2799517,359
916080,12504,2809416,358
928580,12500,2823806,357
941080,12500,2848077,357
953584,12504,2851429,357
966084,12500,2847430,356
978584,12500,2837409,355
991084,12500,2824309,355
1003584,12500,2811923,356
1016088,12504,2803890,355
1028592,12504,2802957,353
1041092,12500,2820130,353
1053592,12500,2832328,354
1066096,12504,2841840,353
1078600,12504,2846296,352
1091104,12504,2844966,352
1103604,12500,2838180,352
1116108,12504,2828040,351
1128608,12500,2817455,350
1141108,12500,2809813,350
1153608,12500,2810407,350
1166108,12500,2818305,350
1178608,12500,2828215,348
1191108,12500,2836994,348
1203608,12500,2842238,349
1216112,12504,2842590,348
1228616,12504,2838033,347
1241116,12500,2830146,347
1253616,12500,2821169,347
1266116,12500,2810554,347
1278616,12500,2812025,345
1291120,12504,2817646,345
1303620,12500,2825663,346
1316120,12500,2833582,345
1328620,12500,2838947,344
1341120,12500,2840334,344
1353620,12500,2837362,344
1366120,12500,2823800,344
1378620,12500,2817221,342
1391120,12500,2813651,342
1403624,12504,2814202,343
1416124,12500,2818279,342
1428624,12500,2824330,341
1441128,12504,2830856,341
1453628,12500,2835653,341
1466128,12500,2837436,341
1478632,12504,2831316,339
1491132,12500,2825371,339
1503632,12500,2819998,340
1516132,12500,2816605,339
1528632,12500,2816209,338
1541132,12500,2818672,338
1553632,12500,2823178,338
1566136,12504,2828383,338
1578636,12500,2832803,336
1591136,12500,2834640,336
1603636,12500,2831735,337
1616136,12500,2827245,336
1628636,12500,2822330,335
1641140,12504,2818626,335
1653640,12500,2817467,336
1666140,12500,2818834,335
1678640,12500,2822481,334
1691140,12500,2831088,334
1703640,12500,2833563,334
1716140,12500,2833808,334
1728640,12500,2831742,332
1741140,12500,2827952,332
1753640,12500,2823765,333
1766140,12500,2820304,332
1778644,12504,2818568,331
1791148,12504,2819292,331
1803652,12504,2826149,332
1816156,12504,2829851,331
1828656,12500,2832327,330
1841160,12504,2832839,330
1853660,12500,2831374,331
1866160,12500,2828229,330
1878660,12500,2824431,329
1891164,12504,2821291,329
1903664,12500,2819790,329
1916164,12500,2822420,329
1928664,12500,2825744,328
1941168,12504,2829011,328
1953668,12500,2831136,328
1966168,12500,2831552,328
1978668,12500,2830326,327
1991172,12504,2827878,327
2003676,12504,2824916,327
2016176,12500,2822437,327
2028676,12500,2821444,326
2041176,12500,2822954,326
2053680,12504,2825354,326
2066180,12500,2827800,326
2078680,12500,2829851,325
2091180,12500,2830602,325
2103680,12500,2829902,325
2116180,12500,2827990,325
2128680,12500,2823462,324
2141180,12500,2822068,324
2153680,12500,2821857,324
2166180,12500,2823071,324
2178680,12500,2825095,323
2191180,12500,2827194,323
2203680,12500,2828802,323
2216184,12504,2829475,323
2228688,12504,2829299,322
2241192,12504,2826113,322
2253692,12500,2824275,323
2266192,12500,2823142,322
2278692,12500,2822733,321
2291192,12500,2823218,321
2303692,12500,2824693,322
2316196,12504,2826539,321
2328700,12504,2828277,320
2341204,12504,2829110,320
2353704,12500,2828361,321
2366204,12500,2826846,320
2378704,12500,2824730,319
2391204,12500,2823171,319
2403704,12500,2822737,320
2416204,12500,2823154,319
2428704,12500,2824472,318
2441204,12500,2826256,318
2453704,12500,2828640,319
2466204,12500,2828839,318
2478704,12500,2828063,317
2491208,12504,2826627,317
2503708,12500,2825048,318
2516208,12500,2823886,317
2528712,12504,2823373,316
2541212,12500,2823645,316
2553712,12500,2824509,317
2566212,12500,2827334,316
2578712,12500,2828115,315
2591212,12500,2828249,315
2603712,12500,2827718,316
2616216,12504,2826694,316
2628716,12500,2825390,314
2641216,12500,2824328,314
2653716,12500,2823697,315
2666216,12500,2823873,315
2678716,12500,2825581,313
2691216,12500,2826934,313
2703720,12504,2827778,314
2716220,12500,2828286,314
2728720,12500,2827915,312
2741220,12500,2826929,312
2753724,12504,2825652,313
2766228,12504,2824510,313
2778732,12504,2823902,311
2791232,12500,2824692,311
2803732,12500,2826028,312
2816236,12504,2827006,312
2828736,12500,2827521,311
2841240,12504,2827787,310
2853740,12500,2827650,311
2866244,12504,2826734,311
2878748,12504,2825469,310
2891248,12500,2823996,310
2903748,12500,2824121,310
2916248,12500,2824636,310
2928748,12500,2825531,309
2941248,12500,2826503,309
2953748,12500,2827436,310
2966248,12500,2827700,310
2978748,12500,2827353,308
2991248,12500,2826600,308
3003748,12500,2824736,309
3016248,12500,2824164,309
3028748,12500,2824140,308
3041248,12500,2824862,307
3053748,12500,2825761,308
3066248,12500,2826647,308
3078752,12504,2827283,307
3091252,12500,2827371,307
3103752,12500,2826218,308
3116252,12500,2825399,307
3128756,12504,2824670,306
3141256,12500,2824311,306
3153760,12504,2824631,307
3166264,12504,2825356,307
3178764,12500,2826058,306
3191268,12504,2826792,305
3203772,12504,2827036,306
3216272,12500,2826402,306
3228772,12500,2826021,305
3241272,12500,2825533,305
3253772,12500,2825293,306
3266272,12500,2825290,306
3278772,12500,2825470,304
3291276,12504,2825538,304
3303776,12500,2825720,305
3316280,12504,2826034,305
3328780,12500,2826405,304
3341280,12500,2826182,303
3353784,12504,2825940,304
3366284,12500,2825711,304
3378784,12500,2825323,303
3391284,12500,2825090,303
3403788,12504,2825131,304
3416288,12500,2825429,304
3428788,12500,2826200,303
3441288,12500,2826433,302
3453788,12500,2826442,303
3466288,12500,2826314,303
3478792,12504,2826094,302
3491292,12500,2825965,301
3503792,12500,2825731,302
3516292,12500,2825603,302
3528792,12500,2825571,301
3541296,12504,2825500,301
3553796,12500,2825582,302
3566296,12500,2825539,302
3578800,12504,2825782,301
3591300,12500,2826181,300
3603800,12500,2826470,301
3616304,12504,2826296,301
3628808,12504,2825934,300
3641308,12500,2825601,300
3653812,12504,2825217,301
3666312,12500,2825024,301
3678812,12500,2825200,300
3691312,12500,2825860,299
3703816,12504,2826383,300
3716316,12500,2826663,300
3728816,12500,2826723,299
3741316,12500,2826588,299
3753816,12500,2825568,300
3766316,12500,2825065,300
3778816,12500,2824896,299
3791316,12500,2824916,298
3803816,12500,2825346,299
3816316,12500,2825809,299
3828816,12500,2826027,298
3841320,12504,2826174,298
3853820,12500,2826227,299
3866320,12500,2826020,299
3878820,12500,2825636,298
3891320,12500,2825386,297
3903824,12504,2825409,298
3916324,12500,2825398,298
3928828,12504,2825428,297
3941328,12500,2825640,297
3953828,12500,2825856,298
3966332,12504,2826101,298
3978836,12504,2826056,297
3991336,12500,2825873,296
4003836,12500,2825630,297
4016336,12500,2825576,297
4028836,12500,2825583,296
4041336,12500,2825720,296
4053840,12504,2825799,297
4066344,12504,2825731,297
4078848,12504,2825887,296
4091352,12504,2825884,295
4103856,12504,2825819,296
4116356,12500,2825741,296
4128856,12500,2825639,295
4141360,12504,2825728,295
4153860,12500,2825894,296
4166364,12504,2825702,296
4178868,12504,2825502,295
4191368,12500,2825676,294
4203868,12500,2825827,295
4216368,12500,2826156,295
4228868,12500,2826295,294
4241368,12500,2826283,294
4253868,12500,2826178,295
4266368,12500,2825887,295
4278868,12500,2825633,294
4291368,12500,2825525,293
4303868,12500,2825766,294
4316368,12500,2826150,294
4328868,12500,2826234,293
4341372,12504,2826203,293
4353872,12500,2826256,294
4366376,12504,2826105,294
4378880,12504,2825864,293
4391384,12504,2825594,292
4403888,12504,2825316,293
4416388,12500,2825405,294
4428888,12500,2825860,293
4441388,12500,2826104,292
4453888,12500,2826496,293
4466388,12500,2826693,293
4478892,12504,2826551,292
4491396,12504,2826104,292
4503896,12500,2825479,293
4516396,12500,2825356,293
4528900,12504,2825594,292
4541400,12500,2825908,291
4553900,12500,2826135,292
4566400,12500,2826233,293
4578904,12504,2826276,292
4591404,12500,2826248,291
4603912,12508,2825972,292
4616412,12500,2825608,292
4628912,12500,2826805,291
4641412,12500,2829452,291
4653912,12500,2831935,292
4666412,12500,2833361,292
4678912,12500,2833247,291
4691412,12500,2831943,290
4703916,12504,2830191,291
4716420,12504,2829060,292
4728920,12500,2828549,291
4741420,12500,2831625,290
4753920,12500,2836365,291
4766420,12500,2842296,291
4778920,12500,2847721,290
4791420,12500,2851208,290
4803920,12500,2851688,291
4816420,12500,2848635,291
4828920,12500,2843087,290
4841420,12500,2832410,289
4853920,12500,2828906,290
4866420,12500,2826189,291
4878920,12500,2823350,290
4891420,12500,2819793,289
4903920,12500,2814515,290
4916420,12500,2805949,290
4928920,12500,2793805,289
4941420,12500,2778356,289
4953920,12500,2743615,290
4966420,12500,2730730,290
4978924,12504,2727745,289
4991428,12504,2734797,289
5003928,12500,2742367,289
