Times (us),interval (us),strain (raw),sensorValue0 (raw)
66000,66000,2742051,397
78500,12500,2741896,396
91000,12500,2741863,394
103500,12500,2741702,392
116000,12500,2741567,392
128504,12504,2741602,392
141008,12504,2741727,390
153508,12500,2741815,389
166012,12504,2741768,389
178516,12504,2741993,389
191020,12504,2741953,387
203520,12500,2741787,386
216020,12500,2741778,387
228520,12500,2741711,386
241020,12500,2741551,385
253524,12504,2741544,384
266028,12504,2741721,384
278536,12508,2741766,384
291036,12500,2741747,382
303536,12500,2741809,381
316036,12500,2741781,382
328536,12500,2741596,382
341040,12504,2741500,380
353540,12500,2741629,379
366044,12504,2741684,379
378548,12504,2741627,379
391052,12504,2741757,378
403552,12500,2741872,377
416056,12504,2741697,377
428556,12500,2741683,377
441060,12504,2741703,375
453564,12504,2741588,374
466068,12504,2741581,375
478568,12500,2741661,375
491068,12500,2741671,373
503568,12500,2741643,372
516068,12500,2741627,372
528568,12500,2741687,372
541068,12500,2741549,371
553572,12504,2741529,370
566072,12500,2741554,370
578576,12504,2741736,370
591080,12504,2741623,369
603580,12500,2741608,368
616080,12500,2741560,368
628584,12504,2741678,368
641084,12500,2741576,367
653588,12504,2741543,366
666092,12504,2741582,366
678596,12504,2741616,366
691096,12500,2741597,365
703596,12500,2741636,364
716100,12504,2741740,364
728600,12500,2741681,364
741100,12500,2741571,363
753600,12500,2741516,362
766104,12504,2741626,362
778608,12504,2741698,362
791112,12504,2741638,361
803612,12500,2741541,360
816116,12504,2741576,360
828616,12500,2741551,360
841116,12500,2741552,359
853620,12504,2741571,358
866124,12504,2741635,358
878624,12500,2741560,358
891124,12500,2741565,357
903628,12504,2741707,356
916132,12504,2741732,356
928632,12500,2741574,356
941136,12504,2741684,355
953636,12500,2741606,354
966140,12504,2741667,354
978640,12500,2741611,354
991144,12504,2741468,353
1003644,12500,2741588,352
1016144,12500,2741657,352
1028644,12500,2741708,353
1041148,12504,2741661,351
1053652,12504,2741683,350
1066152,12500,2741599,351
1078652,12500,2741465,351
1091156,12504,2741572,350
1103656,12500,2741808,349
1116156,12500,2744523,349
1128656,12500,2755993,349
1141156,12500,2764960,348
1153656,12500,2750426,347
1166156,12500,2743971,347
1178656,12500,2746681,348
1191156,12500,2753008,346
1203656,12500,2756699,345
1216156,12500,2756332,346
1228656,12500,2753366,346
1241156,12500,2751800,345
1253660,12504,2752460,344
1266160,12500,2753544,344
1278660,12500,2752950,344
1291160,12500,2752502,343
1303660,12500,2752611,342
1316160,12500,2753054,343
1328660,12500,2753204,343
1341160,12500,2753373,342
1353660,12500,2753511,341
1366160,12500,2752976,341
1378660,12500,2752337,341
1391160,12500,2752212,340
1403664,12504,2752786,339
1416164,12500,2753656,339
1428664,12500,2753976,340
1441168,12504,2753540,339
