Times (us),interval (us),strain (raw),sensorValue0 (raw)
66260,66260,2719688,513
78764,12504,2719760,512
91264,12500,2719575,513
103768,12504,2719358,513
116272,12504,2719398,512
128772,12500,2719491,511
141272,12500,2719567,512
153772,12500,2719571,515
166272,12500,2719692,514
178772,12500,2719315,511
191272,12500,2719105,515
203780,12508,2719099,512
216280,12500,2719306,513
228780,12500,2719286,516
241280,12500,2719116,516
253780,12500,2719222,515
266280,12500,2719201,514
278784,12504,2719115,515
291284,12500,2719129,515
303784,12500,2719160,515
316288,12504,2719170,516
328788,12500,2719246,515
341288,12500,2719504,515
353788,12500,2719698,514
366288,12500,2719732,513
378792,12504,2719956,514
391292,12500,2719978,515
403792,12500,2720067,515
416292,12500,2719973,512
428792,12500,2719755,512
441296,12504,2720079,512
453796,12500,2720550,514
466296,12500,2720439,515
478796,12500,2720280,512
491300,12504,2720357,513
503800,12500,2720639,515
516300,12500,2720085,516
528800,12500,2719940,515
541300,12500,2720295,517
553804,12504,2720459,517
566304,12500,2720376,513
578804,12500,2720109,514
591308,12504,2720161,516
603808,12500,2720410,518
616308,12500,2720598,517
628808,12500,2720399,516
641308,12500,2720471,516
653808,12500,2720546,516
666308,12500,2720605,508
678808,12500,2720327,498
691308,12500,2720082,500
703808,12500,2720405,502
716308,12500,2720798,501
728812,12504,2720883,505
741316,12504,2720241,504
753816,12500,2720481,504
766316,12500,2720832,494
778816,12500,2720861,502
791316,12500,2720633,502
803816,12500,2720399,502
816316,12500,2720562,501
828816,12500,2720617,502
841320,12504,2720138,502
853820,12500,2720556,501
866320,12500,2721313,501
878820,12500,2721976,499
891320,12500,2721613,500
903820,12500,2721315,500
916320,12500,2721510,502
928820,12500,2721855,499
941320,12500,2722022,499
953820,12500,2721770,499
966324,12504,2721873,502
978824,12500,2722196,501
991328,12504,2722325,522
1003828,12500,2722196,522
1016328,12500,2722047,522
1028832,12504,2722568,522
1041332,12500,2723111,522
1053832,12500,2723206,521
1066332,12500,2722903,522
1078832,12500,2723175,522
1091336,12504,2723302,523
1103840,12504,2722979,520
1116340,12500,2722818,520
1128844,12504,2723078,523
1141344,12500,2723374,521
1153844,12500,2723415,522
1166348,12504,2723312,521
1178848,12500,2723190,519
1191348,12500,2723497,517
1203848,12500,2723442,511
1216348,12500,2723403,517
1228852,12504,2723530,518
1241352,12500,2723491,519
1253856,12504,2723283,520
1266360,12504,2723290,520
1278860,12500,2723403,521
1291360,12500,2723422,521
1303864,12504,2723268,521
1316364,12500,2723185,520
1328864,12500,2723261,520
1341364,12500,2723208,521
1353864,12500,2723030,521
1366364,12500,2722973,521
1378864,12500,2723245,522
1391368,12504,2723309,522
1403868,12500,2723114,522
1416368,12500,2724304,522
1428868,12500,2724583,522
1441368,12500,2724540,522
1453872,12504,2724359,522
1466376,12504,2724247,522
1478876,12500,2724212,522
1491376,12500,2724195,522
1503876,12500,2724035,522
1516376,12500,2723908,522
1528876,12500,2724338,522
1541376,12500,2724066,523
1553876,12500,2723755,523
1566380,12504,2723825,523
1578880,12500,2723895,523
1591380,12500,2724025,525
1603884,12504,2723860,525
1616384,12500,2723654,523
1628884,12500,-963454,526
1651472,22588,2723959,522
