Times (us),interval (us),strain (raw),sensorValue0 (raw)
66000,66000,2742423,396
78500,12500,2742123,395
91000,12500,2742151,393
103500,12500,2742225,391
116000,12500,2742259,391
128500,12500,2742149,391
141004,12504,2742062,390
153504,12500,2742052,388
166004,12500,2742072,388
178504,12500,2741852,388
191004,12500,2742132,387
203508,12504,2742276,385
216008,12500,2742175,385
228508,12500,2742156,386
241008,12500,2742095,384
253508,12500,2742086,383
266008,12500,2742179,383
278512,12504,2742086,383
291012,12500,2742138,382
303512,12500,2742234,380
316016,12504,2742156,380
328520,12504,2742045,381
341020,12500,2741983,379
353520,12500,2741960,378
366020,12500,2742033,378
378524,12504,2741950,378
391028,12504,2741981,377
403528,12500,2742015,375
416028,12500,2741958,376
428528,12500,2741710,376
441032,12504,2741754,375
453532,12500,2742068,373
466032,12500,2742163,373
478532,12500,2741931,374
491032,12500,2741813,372
503536,12504,2742019,371
516036,12500,2741983,371
528536,12500,2741874,371
541040,12504,2741834,370
553544,12504,2742059,369
566044,12500,2742130,369
578544,12500,2741929,369
591044,12500,2741747,368
603544,12500,2741716,367
616048,12504,2741965,367
628552,12504,2741883,367
641052,12500,2741900,366
653552,12500,2741972,365
666056,12504,2741919,365
678560,12504,2741828,365
691060,12500,2741689,364
703560,12500,2741752,363
716060,12500,2741871,363
728560,12500,2742058,363
741060,12500,2741977,362
753560,12500,2741756,361
766060,12500,2741663,361
778560,12500,2741753,361
791060,12500,2741811,360
803560,12500,2741741,359
816060,12500,2741758,359
828564,12504,2741804,359
841064,12500,2741872,358
853564,12500,2741735,357
866064,12500,2741691,357
878564,12500,2741831,357
891064,12500,2741780,356
903564,12500,2741809,355
916068,12504,2741973,355
928568,12500,2741984,355
941068,12500,2741873,354
953568,12500,2741709,353
966068,12500,2741893,353
978568,12500,2741964,353
991068,12500,2741754,352
1003568,12500,2741599,351
1016068,12500,2741832,351
1028568,12500,2741959,352
1041068,12500,2741905,351
1053568,12500,2741919,349
1066072,12504,2741955,350
1078576,12504,2741981,350
1091076,12500,2741911,349
1103580,12504,2741952,348
1116080,12500,2741879,348
1128580,12500,2741860,348
1141084,12504,2741891,347
1153588,12504,2741952,346
1166092,12504,2741800,346
1178592,12500,2741868,347
1191092,12500,2742038,346
1203596,12504,2741990,344
