Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,441,399,374
8,440,424,404
12,440,433,420
16,440,436,428
20,440,436,430
24,440,436,431
28,440,436,432
32,440,436,432
36,440,436,432
40,440,436,431
44,440,436,432
48,440,436,432
52,440,436,432
56,440,436,431
60,440,436,432
64,440,436,432
68,440,436,432
72,440,435,431
76,440,436,432
80,440,436,432
84,440,436,432
88,440,436,432
92,440,436,432
96,440,436,432
100,440,436,432
104,440,436,432
108,440,436,432
112,440,436,432
116,440,437,432
120,440,436,432
124,440,436,432
128,440,436,432
132,440,436,432
136,440,436,432
140,440,436,431
144,440,436,432
148,440,436,432
152,440,436,432
156,440,436,431
160,440,436,432
164,440,436,432
168,440,436,432
172,440,436,432
176,440,436,432
180,440,436,432
184,440,436,432
188,440,436,432
192,440,436,432
196,440,436,432
200,440,436,432
204,440,435,431
208,440,436,431
212,440,436,432
216,440,436,432
220,440,436,432
224,440,436,431
228,440,436,432
232,440,436,432
236,440,436,432
240,440,435,431
244,440,436,432
248,440,436,432
252,440,436,432
256,440,436,431
260,440,436,432
264,440,436,432
268,440,436,432
272,440,435,431
276,440,436,431
280,440,436,432
284,440,436,432
288,440,436,432
292,440,436,432
296,440,436,432
300,440,436,432
304,440,436,431
308,440,436,431
312,440,436,432
316,440,436,432
320,440,436,432
324,440,436,432
328,440,436,432
332,440,436,432
336,440,436,432
340,440,436,432
344,440,436,432
348,440,436,432
352,440,436,432
356,440,436,431
360,440,436,432
364,440,436,432
368,440,436,432
372,440,436,431
376,440,436,432
380,440,436,432
384,440,436,432
388,440,435,431
392,440,436,432
396,440,436,432
400,440,436,432
404,440,436,431
408,440,436,432
412,440,436,432
416,440,436,432
420,440,436,432
424,440,436,432
428,440,436,432
432,440,436,432
436,440,436,432
440,440,436,431
444,440,436,432
448,440,436,432
452,440,436,432
456,440,436,431
460,440,436,432
464,440,436,432
468,440,436,432
472,440,436,431
476,440,436,432
480,440,436,432
484,440,436,432
488,440,435,431
492,440,436,431
496,440,436,432
500,440,436,432
