Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,440,386,371
8,439,418,399
12,439,430,416
16,439,434,425
20,439,435,428
24,439,435,430
28,439,435,430
32,439,435,431
36,439,435,431
40,439,435,431
44,439,435,431
48,439,435,431
52,439,435,431
56,439,435,431
60,439,435,431
64,439,435,431
68,439,435,431
72,439,435,431
76,439,435,431
80,439,435,431
84,439,435,431
88,439,435,431
92,439,435,431
96,439,435,431
100,439,435,431
104,439,435,431
108,439,435,431
112,439,435,431
116,439,435,431
120,439,435,431
124,439,435,431
128,439,435,431
132,439,435,431
136,439,435,431
140,439,435,431
144,439,435,431
148,439,435,431
152,439,435,431
156,439,435,431
160,439,435,431
164,439,435,431
168,439,435,431
172,439,435,431
176,439,435,431
180,439,435,431
184,440,435,431
188,439,435,431
192,439,435,431
196,439,435,431
200,439,435,431
204,439,435,431
208,439,435,431
212,439,435,431
216,439,435,431
220,439,435,431
224,439,435,431
228,439,435,431
232,439,435,431
236,439,435,431
240,439,435,431
244,439,435,431
248,439,435,431
252,439,435,431
256,439,435,431
260,439,435,431
264,439,435,431
268,439,435,431
272,439,435,431
276,439,435,431
280,439,435,431
284,439,435,431
288,439,435,431
292,439,435,431
296,439,435,431
300,439,435,431
304,439,435,431
308,439,435,431
312,439,435,431
316,439,435,431
320,439,435,431
324,440,435,431
328,439,435,431
332,438,434,430
336,438,434,430
340,440,435,430
344,440,435,431
348,439,435,431
352,438,434,430
356,438,434,430
360,438,434,430
364,439,435,430
368,440,435,431
372,440,435,431
376,440,435,431
380,440,435,431
384,439,435,431
388,439,435,431
392,440,435,431
396,439,435,431
400,437,434,430
404,435,432,428
408,436,432,428
412,440,434,429
416,442,437,431
420,443,438,433
424,444,439,434
428,443,439,435
432,441,438,434
436,439,436,432
440,438,434,431
444,440,435,431
448,441,436,432
452,441,436,432
456,439,435,431
460,438,434,430
464,437,433,429
468,436,433,429
472,437,433,429
476,437,433,429
480,438,434,429
484,438,434,430
