Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,440,399,374
8,440,424,404
12,440,433,420
16,440,435,427
20,440,436,430
24,440,436,431
28,440,437,432
32,440,436,432
36,441,436,432
40,440,436,432
44,440,437,433
48,441,437,433
52,441,436,432
56,441,436,432
60,441,437,433
64,440,437,433
68,440,436,432
72,441,436,432
76,440,437,432
80,440,437,432
84,440,436,432
88,440,436,432
92,440,436,432
96,440,437,433
100,440,436,432
104,440,436,432
108,440,436,432
112,440,436,432
116,440,436,432
120,440,435,431
124,440,436,432
128,440,436,432
132,440,436,432
136,440,435,431
140,440,435,431
144,439,436,432
148,439,435,431
152,439,435,431
156,439,435,431
160,439,436,431
164,440,436,431
168,439,435,431
172,440,436,431
176,440,436,432
180,440,436,432
184,440,435,431
188,439,435,431
192,440,436,432
196,440,436,432
200,440,435,431
204,440,435,431
208,440,436,432
212,440,436,432
216,440,436,432
220,440,436,432
224,440,436,432
228,440,436,432
232,440,436,432
236,440,436,432
240,440,436,432
244,440,436,432
248,440,436,432
252,440,436,432
256,440,436,432
260,440,436,432
264,440,436,432
268,440,436,432
272,440,436,432
276,440,436,432
280,440,436,432
284,440,436,432
288,440,436,432
292,440,436,432
296,440,436,432
300,440,436,432
304,440,435,431
308,440,436,432
312,440,436,432
316,440,436,432
320,440,435,431
324,440,436,432
328,440,436,432
332,440,436,432
336,440,436,431
340,440,436,432
344,440,436,432
348,440,436,432
352,440,436,431
356,440,436,432
360,440,436,432
364,440,436,432
368,440,435,431
372,440,435,431
376,440,436,432
380,440,436,432
384,440,436,432
388,440,436,432
392,440,436,432
396,440,436,432
400,440,436,431
404,440,435,431
408,440,436,432
412,440,436,432
416,440,436,431
420,440,435,431
424,440,436,432
428,440,436,432
432,440,436,432
436,440,435,431
440,440,435,431
444,440,436,432
448,440,436,432
452,440,435,431
456,440,436,431
460,440,436,432
464,440,436,432
468,440,435,431
472,440,436,431
476,440,436,432
480,440,436,432
484,440,435,431
488,440,436,431
492,440,436,432
496,440,436,432
500,440,436,432
504,440,436,432
508,440,436,432
512,440,436,432
516,440,436,432
520,440,436,431
524,440,436,432
528,440,437,432
532,440,436,432
536,440,436,432
540,440,436,432
544,440,436,432
548,440,436,432
552,440,436,432
556,440,436,432
560,440,436,432
564,440,436,432
568,440,436,432
572,440,436,432
576,440,436,432
580,440,436,432
584,440,435,431
588,440,436,431
592,440,436,432
596,440,436,432
600,440,436,431
604,440,436,431
608,440,436,432
612,439,436,432
616,440,436,432
620,440,435,431
624,440,436,431
628,440,436,432
632,440,436,432
636,440,435,431
640,440,436,431
644,440,436,432
648,439,435,431
652,439,435,431
656,440,435,431
660,439,436,432
664,440,436,432
668,440,435,431
672,440,435,431
676,440,436,432
680,440,436,432
684,440,436,431
688,440,435,431
692,440,436,432
696,440,436,432
700,440,435,431
704,440,436,431
708,440,436,432
712,440,436,432
716,440,436,432
720,440,436,432
724,440,436,432
728,440,436,432
732,440,436,432
736,440,436,431
740,440,436,432
744,440,436,432
748,440,436,432
752,440,436,431
756,440,436,432
760,440,436,432
764,440,436,432
768,440,436,432
772,440,436,432
776,440,436,432
780,440,436,432
784,440,436,432
788,440,436,432
792,440,436,432
796,440,436,432
800,440,436,432
804,440,436,432
808,441,436,432
812,440,436,432
816,440,436,432
820,440,435,431
824,440,436,432
828,440,436,432
832,440,436,432
836,440,435,431
840,440,436,432
844,440,436,432
848,440,436,432
852,440,435,431
856,440,436,432
860,440,436,432
864,440,436,432
868,440,435,431
872,440,435,431
876,440,436,432
880,440,436,432
884,440,435,431
888,440,435,431
892,440,436,432
896,440,436,432
900,440,435,431
904,440,435,431
908,440,436,432
912,440,436,432
916,440,436,432
920,440,435,431
924,440,436,432
928,440,437,432
932,440,436,432
936,440,435,431
940,440,436,432
944,440,436,432
948,440,436,432
952,440,436,432
956,440,436,432
960,438,435,432
964,441,437,432
968,442,437,432
972,440,436,432
976,434,432,430
980,450,441,435
984,438,436,433
988,435,433,430
992,436,433,429
996,448,441,434
1000,434,433,430
1004,431,429,427
1008,457,445,437
1012,425,429,428
1016,441,435,430
1020,451,443,436
1024,438,437,434
1028,427,428,427
1032,427,425,423
1036,458,444,434
1040,463,454,445
1044,421,428,431
1048,413,416,418
1052,471,450,437
1056,437,438,434
1060,425,427,427
1064,443,435,430
1068,448,441,434
1072,440,437,434
1076,439,436,433
1080,436,434,431
1084,440,435,431
1088,442,437,432
1092,441,437,433
1096,439,436,432
1100,441,436,432
1104,441,437,432
1108,441,437,433
1112,440,437,433
1116,440,436,432
1120,441,437,432
1124,442,438,433
1128,441,438,434
1132,439,436,432
1136,438,434,431
1140,436,433,430
1144,437,433,430
1148,438,433,429
1152,433,430,427
1156,416,418,418
1160,547,505,474
1164,430,451,455
1168,417,426,433
1172,435,429,428
1176,442,435,430
1180,443,437,432
1184,441,437,432
1188,440,436,432
1192,440,437,432
1196,441,437,433
1200,441,436,432
1204,442,437,433
1208,442,438,433
1212,441,437,433
1216,439,435,432
1220,439,434,431
1224,438,434,430
1228,438,435,431
1232,439,435,431
1236,439,435,431
1240,439,435,431
1244,437,434,431
1248,436,433,429
1252,436,432,428
1256,437,433,428
1260,438,434,430
1264,439,434,430
1268,438,434,430
1272,438,434,430
1276,438,435,431
1280,439,435,431
1284,439,434,430
1288,440,435,431
1292,441,436,432
1296,441,437,432
1300,441,436,432
1304,441,437,432
1308,442,438,433
1312,441,437,433
1316,440,436,432
1320,439,435,431
1324,440,436,432
1328,440,436,432
1332,439,435,431
1336,439,435,431
1340,439,435,431
1344,439,436,432
1348,440,436,431
1352,440,435,431
1356,440,436,431
1360,440,436,432
1364,441,436,432
1368,441,437,432
1372,441,437,433
1376,442,438,434
1380,443,439,434
1384,444,439,435
1388,444,439,435
1392,443,439,435
1396,441,438,434
1400,439,436,432
1404,437,434,431
1408,436,433,430
1412,436,432,429
1416,436,432,428
1420,437,432,428
