"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769915310852616E9,"2026-01-31 19:08:30.853 UTC-08:00"
"PAUSE",5.320431348333368E2,1.769915842893573E9,"2026-01-31 19:17:22.894 UTC-08:00"
