"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769911684603543E9,"2026-01-31 18:08:04.604 UTC-08:00"
"PAUSE",3.792325154165737E2,1.769912063834481E9,"2026-01-31 18:14:23.834 UTC-08:00"
