"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.481964998E-1,7.861651611E-1,3.878434753E0,9.612710266E0,1.039540814E1
6.581655000E-1,8.304730225E-1,4.080514526E0,9.273216248E0,1.016527539E1
6.681354996E-1,6.132746887E-1,4.022734680E0,9.131461029E0,9.997103614E0
6.781054996E-1,-6.212081909E-1,3.185974731E0,9.623787231E0,1.015645683E1
6.880754996E-1,-9.160949707E-1,2.505938873E0,9.934391327E0,1.028645180E1
6.980444998E-1,-3.784130859E-1,2.496807861E0,1.005683670E1,1.036905060E1
7.080144999E-1,-2.633024597E-1,2.598296814E0,1.019844223E1,1.052752100E1
7.179844999E-1,-2.692900085E-1,2.512824554E0,1.042447220E1,1.072643580E1
7.279534996E-1,-6.137237549E-2,2.478246460E0,1.050081345E1,1.078946501E1
7.379234997E-1,1.613644409E-1,2.484084320E0,1.037043457E1,1.066501883E1
7.478934997E-1,4.185296631E-1,2.739902344E0,1.014560211E1,1.051738913E1
7.578624999E-1,3.983216858E-1,2.776576080E0,9.641001434E0,1.004076409E1
7.678324999E-1,1.621128845E-1,2.421215057E0,9.040749664E0,9.360754106E0
7.778024999E-1,-1.475930786E-1,2.174677734E0,8.599167938E0,8.871115837E0
7.877714997E-1,-3.237767029E-1,2.025587769E0,8.351283417E0,8.599521607E0
7.977414997E-1,-3.975732422E-1,1.848655701E0,8.220605164E0,8.435279583E0
8.077114997E-1,-3.926335144E-1,1.734443207E0,8.142467651E0,8.334400624E0
8.176805000E-1,-2.880010986E-1,1.601220245E0,8.077951813E0,8.240155120E0
8.276505000E-1,-1.354682922E-1,1.407672729E0,8.273744659E0,8.393732475E0
8.376205000E-1,-5.688171387E-2,1.236877899E0,8.460705872E0,8.550827230E0
8.475905000E-1,1.745370483E-1,9.713301086E-1,8.655301208E0,8.711382460E0
8.575594998E-1,2.430944824E-1,7.294331360E-1,8.751251678E0,8.784962923E0
8.675294998E-1,1.945953369E-1,6.698570251E-1,8.303832092E0,8.333078855E0
8.774994998E-1,3.917353821E-1,6.192622375E-1,8.080795898E0,8.113951237E0
8.874684996E-1,4.561015320E-1,5.319937134E-1,7.604785767E0,7.637002846E0
8.974384996E-1,4.996609497E-1,3.005749512E-1,7.350314941E0,7.373407360E0
9.074084996E-1,3.614982605E-1,1.661544800E-2,7.162605286E0,7.171741179E0
9.173774999E-1,3.195854187E-1,-2.682421875E-1,7.016658783E0,7.029053221E0
9.273474999E-1,5.566923523E-1,-5.123844910E-1,6.991960144E0,7.032776898E0
9.373174999E-1,1.232985992E0,-6.030958557E-1,7.392527161E0,7.518872049E0
9.472864997E-1,1.997296600E0,-4.086502075E-1,8.308173065E0,8.554643674E0
9.572564997E-1,2.356998596E0,-4.513114929E-1,8.663534088E0,8.989769037E0
9.672264997E-1,2.405348053E0,-6.206094360E-1,8.113877106E0,8.485626495E0
9.771954999E-1,2.191742249E0,-6.792874146E-1,7.356901245E0,7.706436362E0
9.871654999E-1,2.010618896E0,-8.803193665E-1,6.508465576E0,6.868600636E0
9.971355000E-1,1.937271423E0,-1.021326141E0,6.041287079E0,6.425984533E0
1.007104500E0,2.106419678E0,-1.122366028E0,5.866450653E0,6.333399768E0
1.017074500E0,2.314636688E0,-1.266216888E0,5.944139099E0,6.503355890E0
1.027044500E0,2.453098755E0,-1.414558411E0,6.345604248E0,6.948766960E0
1.037013500E0,2.743345184E0,-1.598376160E0,7.098239136E0,7.775972478E0
1.046983500E0,3.175646210E0,-1.721569977E0,8.095615082E0,8.864959988E0
1.056953500E0,3.410058746E0,-1.866917725E0,8.793463898E0,9.614514536E0
1.066923500E0,3.351979523E0,-2.171683960E0,8.943901062E0,9.795169429E0
1.076892500E0,3.132086792E0,-2.468965759E0,8.701555023E0,9.571980956E0
1.086862500E0,3.068918152E0,-2.599793701E0,8.241262207E0,9.170364697E0
1.096832500E0,3.245850220E0,-2.594105530E0,7.858957214E0,8.889777030E0
1.106801500E0,3.584895172E0,-2.511477356E0,7.805518341E0,8.949028354E0
1.116771500E0,4.062252502E0,-2.408491516E0,8.159232788E0,9.427396590E0
1.126741500E0,4.496798859E0,-2.365979919E0,8.774154053E0,1.013927218E1
1.136710500E0,4.823419647E0,-2.262245636E0,9.282197571E0,1.070244477E1
1.146680500E0,5.065017242E0,-2.018103333E0,9.485025787E0,1.094042298E1
1.156650500E0,5.241799622E0,-1.797611847E0,9.613009644E0,1.109584724E1
1.166619500E0,5.293292542E0,-1.842518463E0,9.771080933E0,1.126445040E1
1.176589500E0,5.028792572E0,-1.986519012E0,9.745035095E0,1.114453774E1
1.186559500E0,4.721331940E0,-2.226020966E0,9.826765137E0,1.112705970E1
1.196528500E0,4.429588623E0,-2.354154510E0,1.060260178E1,1.172938461E1
1.206498500E0,4.000431061E0,-2.518213348E0,1.143936172E1,1.237755403E1
1.216468500E0,3.841910706E0,-2.724783783E0,1.170490952E1,1.261703734E1
1.226437500E0,3.925287323E0,-2.232906647E0,1.195773376E1,1.278206358E1
1.236407500E0,4.202810211E0,-1.948797455E0,1.171299271E1,1.259585739E1
1.246377500E0,4.317771149E0,-1.654659119E0,1.149789001E1,1.239284145E1
1.256347500E0,4.176764374E0,-1.449286194E0,1.127754822E1,1.211316990E1
1.266316500E0,4.141288147E0,-1.425186310E0,1.070932983E1,1.157027091E1
1.276286500E0,4.343367920E0,-1.228046265E0,1.034124527E1,1.128336369E1
1.286256500E0,4.386777649E0,-1.073567505E0,1.065244812E1,1.157026431E1
1.296225500E0,4.346960449E0,-1.167272644E0,1.116962265E1,1.204238601E1
1.306195500E0,4.185596008E0,-1.163081360E0,1.172900940E1,1.250766300E1
1.316165500E0,4.143683167E0,-1.250948639E0,1.214604218E1,1.289423605E1
1.326134500E0,4.247417450E0,-1.357976074E0,1.229168930E1,1.307556040E1
1.336104500E0,4.913232880E0,-1.470242615E0,1.279404465E1,1.378365152E1
1.346074500E0,5.691913605E0,-1.433718567E0,1.398721344E1,1.516890138E1
1.356043500E0,6.544241180E0,-7.664062500E-1,1.455558151E1,1.597746614E1
1.366013500E0,6.941814423E0,-2.835104370E-1,1.507754608E1,1.660125180E1
1.375983500E0,6.349047089E0,-6.203100586E-1,1.443433365E1,1.578116508E1
1.385952500E0,6.267466736E0,-6.180647278E-1,1.394305527E1,1.529940958E1
1.395922500E0,5.880521393E0,-4.553530884E-1,1.361104568E1,1.483402989E1
1.405892500E0,6.179150391E0,-5.722599792E-1,1.367002304E1,1.501262505E1
1.415861500E0,7.106621704E0,-4.620890808E-1,1.438703201E1,1.605317067E1
1.425831500E0,7.735014954E0,-2.421963501E-1,1.535042862E1,1.719083402E1
1.435801500E0,8.108787689E0,-4.120930481E-1,1.622026978E1,1.813889219E1
1.445770500E0,8.019722900E0,-5.746549988E-1,1.713816101E1,1.893047138E1
1.455740500E0,7.930508423E0,-6.782395935E-1,1.747196686E1,1.919954684E1
1.465710500E0,7.916737061E0,-7.198530579E-1,1.722438171E1,1.897029888E1
1.475679500E0,7.708520050E0,-8.472381592E-1,1.669613022E1,1.840923296E1
1.485649500E0,8.146060181E0,-5.092410278E-1,1.622730515E1,1.816433470E1
1.495619500E0,8.727750549E0,-1.672023010E-1,1.596055984E1,1.819178542E1
1.505589500E0,9.032516785E0,8.053253174E-2,1.574336151E1,1.815065499E1
1.515558500E0,8.856782227E0,3.171903992E-1,1.542991333E1,1.779397163E1
1.525528500E0,8.380023651E0,2.058219910E-1,1.474793152E1,1.696374496E1
1.535498500E0,7.745044098E0,1.417552185E-1,1.398332153E1,1.598558988E1
1.545467500E0,7.133865051E0,6.900650024E-2,1.309955933E1,1.491627457E1
1.555437500E0,6.662644958E0,2.724334717E-2,1.217657867E1,1.388022508E1
1.565407500E0,6.344706116E0,2.797682190E-1,1.149833908E1,1.313565254E1
1.575376500E0,6.402785339E0,4.013154602E-1,1.086590424E1,1.261842261E1
1.585346500E0,6.361321564E0,8.128097534E-1,1.035756134E1,1.218220623E1
1.595316500E0,6.245462494E0,1.209933929E0,1.002944366E1,1.187684647E1
1.605285500E0,6.477480011E0,1.584754486E0,9.870623932E0,1.191211194E1
