"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769915310179413E9,"2026-01-31 19:08:30.179 UTC-08:00"
"PAUSE",5.294556735416409E2,1.769915839633731E9,"2026-01-31 19:17:19.634 UTC-08:00"
"START",5.294556735416409E2,1.769915841871064E9,"2026-01-31 19:17:21.871 UTC-08:00"
"PAUSE",5.310514782082755E2,1.769915843466889E9,"2026-01-31 19:17:23.467 UTC-08:00"
