"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.448224583E-1,-4.507127380E-1,5.605543213E0,7.496710510E0,9.371548707E0
6.548594583E-1,-9.542655945E-1,4.592899017E0,8.472381592E0,9.684347890E0
6.648964583E-1,-1.751208344E0,4.437522125E0,8.892857208E0,1.009164222E1
6.749334583E-1,-2.151326294E0,4.170776825E0,8.773555298E0,9.949816918E0
6.849704583E-1,-1.573078766E0,3.425626373E0,8.786129150E0,9.560625414E0
6.950064583E-1,-1.311123505E0,2.760260010E0,8.471633148E0,9.005922960E0
7.050434583E-1,-1.430724792E0,2.411036224E0,7.995323639E0,8.472618792E0
7.150804583E-1,-1.606159973E0,2.241139526E0,7.933951263E0,8.399407056E0
7.251174583E-1,-1.552571411E0,2.139650574E0,7.454947357E0,7.909792833E0
7.351544583E-1,-1.483564911E0,2.039658508E0,6.894961853E0,7.341775714E0
7.451914583E-1,-1.362915802E0,1.779499512E0,6.362219696E0,6.745516841E0
7.552284583E-1,-1.157991943E0,1.455423431E0,6.264622650E0,6.534883293E0
7.652654583E-1,-5.969586182E-1,1.481618958E0,6.337970123E0,6.536162453E0
7.753024583E-1,-7.345225525E-1,1.204994202E0,5.928272095E0,6.093926849E0
7.853394583E-1,-7.494914246E-1,8.738827515E-1,5.459746399E0,5.579806377E0
7.953764583E-1,-1.933080139E0,8.608598328E-1,5.382357330E0,5.783394238E0
8.054134583E-1,-3.026705933E0,5.168751526E-1,5.088967438E0,5.943542572E0
8.154504583E-1,-2.773133240E0,1.526824951E-1,5.812712402E0,6.442142918E0
8.254874583E-1,-2.972967682E0,-4.209246826E-1,6.008804626E0,6.717249993E0
8.355244583E-1,-2.252066803E0,-3.438349915E-1,7.281458130E0,7.629525535E0
8.455614583E-1,-2.221380615E0,-9.759704590E-1,7.753875732E0,8.124631625E0
8.555984583E-1,-1.885179749E0,-1.047970734E0,8.370144196E0,8.643579073E0
8.656354583E-1,-1.438059540E0,-7.556286621E-1,9.487420807E0,9.625494454E0
8.756724583E-1,-1.183738403E0,-4.164340210E-1,1.034947815E1,1.042527467E1
8.857094583E-1,-1.317709808E0,-2.802172852E-1,1.074330917E1,1.082744535E1
8.957464583E-1,-1.723216553E0,-6.283932495E-1,1.094044922E1,1.109314124E1
9.057834583E-1,-2.328707428E0,-1.152902527E0,1.113639175E1,1.143552726E1
9.158204583E-1,-2.889740753E0,-1.621727600E0,1.122231308E1,1.170132099E1
9.258574583E-1,-3.035088501E0,-1.710043945E0,1.123952728E1,1.176702962E1
9.358944583E-1,-2.731669464E0,-1.488205261E0,1.109986771E1,1.152752515E1
9.459314583E-1,-2.092798004E0,-1.197360077E0,1.060649368E1,1.087709441E1
9.559684583E-1,-1.212927704E0,-7.701484680E-1,1.032343231E1,1.042293514E1
9.660054583E-1,-5.044509888E-1,-4.185296631E-1,9.740843811E0,9.762872325E0
9.760424583E-1,-7.723937988E-2,-3.107537842E-1,8.974437561E0,8.980148293E0
9.860794583E-1,1.046324158E-1,-1.287322998E-1,8.306376801E0,8.308033191E0
9.961164583E-1,2.005828857E-2,7.888595581E-2,7.928263092E0,7.928680911E0
1.006153458E0,-3.656895447E-1,3.362008667E-1,7.960595856E0,7.976079629E0
1.016190458E0,-8.898994446E-1,4.614903259E-1,7.760761414E0,7.825235591E0
1.026227458E0,-1.469943237E0,6.346801758E-2,7.366930389E0,7.512418031E0
1.036264458E0,-1.776655426E0,-5.530998230E-1,7.231312408E0,7.466880411E0
1.046301458E0,-1.654808807E0,-1.132844238E0,7.171736298E0,7.446846969E0
1.056338458E0,-1.085542603E0,-1.444945221E0,7.274422760E0,7.495565084E0
1.066375458E0,-4.721182251E-1,-9.602531433E-1,7.809410248E0,7.882377188E0
1.076412458E0,4.939727783E-2,-7.768844604E-2,8.517587585E0,8.518085105E0
1.086449458E0,-1.236428833E-1,3.338058472E-1,9.035660248E0,9.042669408E0
1.096486458E0,-1.030756531E0,3.517684937E-2,9.270671539E0,9.327864023E0
1.106523458E0,-2.108814697E0,-6.601272583E-1,9.566606140E0,9.818493798E0
1.116559458E0,-3.162024536E0,-1.695075073E0,9.795330505E0,1.043169106E1
1.126596458E0,-3.431164856E0,-2.322270813E0,1.061517563E1,1.139507734E1
1.136633458E0,-2.832559662E0,-1.993554382E0,1.116213821E1,1.168721450E1
1.146670458E0,-2.279908905E0,-2.165696411E0,1.040067169E1,1.086564297E1
1.156707458E0,-1.637744293E0,-1.909429321E0,1.023152344E1,1.053623265E1
1.166744458E0,-1.198557587E0,-1.404978333E0,1.035351974E1,1.051693280E1
1.176781458E0,-1.359023895E0,-1.321751404E0,1.067624863E1,1.084325862E1
1.186818458E0,-1.859433289E0,-1.631756744E0,1.024559418E1,1.054003426E1
1.196855458E0,-2.228865051E0,-1.718426514E0,1.004171814E1,1.042865918E1
1.206892458E0,-2.371967468E0,-1.954186249E0,1.046503784E1,1.090697440E1
1.216929458E0,-2.528392181E0,-2.694546661E0,1.090796677E1,1.151681760E1
1.226966458E0,-2.326611786E0,-3.192411346E0,1.091245743E1,1.160544440E1
1.237003458E0,-1.847607880E0,-3.087329865E0,1.088491470E1,1.146414535E1
1.247040458E0,-1.386716309E0,-2.961591339E0,1.091051147E1,1.139005119E1
1.257077458E0,-1.182540894E0,-2.890938263E0,1.105166794E1,1.148456752E1
1.267114458E0,-1.255738678E0,-2.978955231E0,1.113160172E1,1.159153185E1
1.277151458E0,-1.517244873E0,-3.241958313E0,1.128637985E1,1.184038411E1
1.287188458E0,-1.968256989E0,-3.701802063E0,1.178559174E1,1.250909855E1
1.297225458E0,-2.479743347E0,-4.391268311E0,1.218735626E1,1.318954196E1
1.307262458E0,-2.771037598E0,-4.970413971E0,1.242027191E1,1.366187464E1
1.317299458E0,-2.768343201E0,-5.190606079E0,1.257220596E1,1.388043509E1
1.327336458E0,-2.760260010E0,-5.156776428E0,1.255633896E1,1.385182394E1
1.337373458E0,-2.734513550E0,-5.028493195E0,1.222582626E1,1.349941243E1
1.347410458E0,-2.637515259E0,-4.705015869E0,1.179741714E1,1.297199724E1
1.357447458E0,-2.607577515E0,-4.347409515E0,1.144834305E1,1.252054266E1
1.367484458E0,-2.754721527E0,-4.201912079E0,1.120509888E1,1.228001615E1
1.377521458E0,-3.083138580E0,-4.346511383E0,1.102981339E1,1.224968114E1
1.387558458E0,-3.426374817E0,-4.623435516E0,1.109462860E1,1.249827925E1
1.397595458E0,-3.653302917E0,-4.896467743E0,1.111019623E1,1.267905670E1
1.407632458E0,-3.603456573E0,-4.818330231E0,1.092458221E1,1.247187644E1
1.417669458E0,-3.387755127E0,-4.386927338E0,1.067205734E1,1.202559039E1
1.427706458E0,-3.042423248E0,-3.941902771E0,1.029514114E1,1.143612119E1
1.437743458E0,-2.758763123E0,-3.677851868E0,9.800868988E0,1.082563630E1
1.447780458E0,-2.605781250E0,-3.667972412E0,9.332043915E0,1.036007535E1
1.457817458E0,-2.578388214E0,-3.649560699E0,9.077273712E0,1.011752327E1
1.467854458E0,-2.741399231E0,-3.582350464E0,9.003926239E0,1.007070962E1
